name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
Bernd Luz,bernd-luz,20-May-66,,,,German,Pop Art|Contemporary,abstract,painting|collage|graphics,,,https://en.wikipedia.org/wiki/Bernd_Luz,,,,,,,
Benoit Maire,benoit-maire,22-Oct-78,,"Pessac, France",,French,Contemporary,,painting|sculpture|photography|installation,,,https://en.wikipedia.org/wiki/Beno%C3%AEt_Maire,,,,,,,
Naum Gabo,naum-gabo,"August 5, 1890",23-Aug-77,"Bryansk, Russian Federation","Waterbury, Connecticut, United States",Russian|Jewish,Constructivism|Kinetic art,sculpture,painting|sculpture,,,https://en.wikipedia.org/wiki/Naum_Gabo,Abstraction-Création|St Ives School,,,,,,
Erich Buchholz,erich-buchholz,"January 31, 1891",29-Dec-72,"Bromberg, Province of Posen, Germany","Berlin, Germany",German,Constructivism,abstract,painting|printmaking|design|architecture|art theory,,,https://en.wikipedia.org/wiki/Erich_Buchholz,"Degenerate art (exhibition, held by the Nazis in Munich in 1937, named to inflame public opinion against modernism)",,,,,,
Ludwig Mies van der Rohe,ludwig-mies-van-der-rohe,"March 27, 1886",17-Aug-69,,,German|American,Constructivism|Minimalism,design|architecture,architecture|design,Dada|De Stijl (Neoplasticism),,https://en.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe,,,,,,,
Henryk Berlewi,henryk-berlewi,"October 20, 1894",2-Aug-67,"Warsaw, Poland","Paris, France",French|Polish|Jewish,Constructivism|Op Art,abstract,painting|art theory|graphics,,,https://en.wikipedia.org/wiki/Henryk_Berlewi,École de Paris,,,,,,
Katarzyna Kobro,katarzyna-kobro,"January 26, 1898",21-Feb-51,"Moscow, Russian Federation","Łódź, Poland",Russian|Polish|Latvian,Constructivism,sculpture,sculpture|design,,,https://en.wikipedia.org/wiki/Katarzyna_Kobro,,,,,,,
György Kepes,gyorgy-kepes,"c.October 4, 1906","c.December 29, 2001","Selyp, Hungary","Cambridge, Massachusetts, United States",Hungarian|American,Constructivism,,photography,,,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_Kepes#New_Bauhaus,Bauhaus,,,,,Laszlo Moholy-Nagy,"Hungarian University of Fine Arts, Budapest, Hungary"
Max Bill,max-bill,22-Dec-08,9-Dec-94,"Winterthur, Switzerland","Berlin, Germany",Swiss,Concrete Art (Concretism),design|abstract,painting|design|architecture|drawing,,,https://en.wikipedia.org/wiki/Max_Bill,Bauhaus|Abstraction-Création,,,,,,
Ramirez Villamizar,ramirez-villamizar,23-Aug-22,24-Aug-04,,,Colombian,Constructivism,sculpture|abstract,painting|printmaking|sculpture,,,https://es.wikipedia.org/wiki/Eduardo_Ram%C3%ADrez_Villamizar,,,,,,,
Gyula Kosice,gyula-kosice,26-Apr-24,,Slovakia,,Argentinean|Slovak,Concrete Art (Concretism)|Kinetic art,sculpture,painting|sculpture|art theory|drawing,,,https://en.wikipedia.org/wiki/Gyula_Kosice,,,,,,,
Edgar Negret,edgar-negret,11-Oct-20,11-Oct-12,,,Colombian,Constructivism,sculpture,sculpture,Jean Arp|Constantin Brâncuși,,https://en.wikipedia.org/wiki/%C3%89dgar_Negret,,,,,,,
Barbara Kruger,barbara-kruger,26-Jan-45,,"Newark, New Jersey, United States",,American,Feminist Art|Conceptual Art,,design|installation|photography|collage,Marlene Dumas,,https://en.wikipedia.org/wiki/Barbara_Kruger,,,,,,,
Navjot Altaf,navjot-altaf,1949,,"Meerut / Meerut City, India",,Indian,Feminist Art|Relational Art,,installation|interactive art|sculpture,,,https://en.wikipedia.org/wiki/Navjot_Altaf,,www.navjotaltaf.com,,,,,
Nan Goldin,nan-goldin,12-Sep-53,,"Washington, D.C., United States",,American|Jewish,Feminist Art,photo,photography,Andy Warhol,,https://en.wikipedia.org/wiki/Nan_Goldin,,,,,,,"Tufts School of the Museum of Fine Arts, Boston, MA, US"
Linder,linder,1954,,"Liverpool, United Kingdom",,British,Feminist Art|Conceptual Art,,collage|performance,,,https://en.wikipedia.org/wiki/Linder_Sterling,,,,,,,
Kiki Smith,kiki-smith,18-Jan-54,,"Nuremberg, Germany",,American|German,Feminist Art,,printmaking|sculpture|drawing|performance|installation,,Ellen Gallagher,https://en.wikipedia.org/wiki/Kiki_Smith,,,,,,,
Shirin Neshat,shirin-neshat,26-Mar-57,,"Qazvin, Iran, Islamic Republic of",,Iranian,Contemporary|Feminist Art,photo,photography,,,https://en.wikipedia.org/wiki/Shirin_Neshat,,,,,,,
Pauline Boty,pauline-boty,6-Mar-38,1-Jul-66,"London, United Kingdom",,British,Pop Art,,painting|collage,,,https://en.wikipedia.org/wiki/Pauline_Boty,,,,,,,
Joan Brown,joan-brown,13-Feb-38,26-Oct-90,,"Puttaparthi, India",American,Feminist Art,portrait,painting,,,https://en.wikipedia.org/wiki/Joan_Brown,Bay Area Figurative School,,,,,,
Yoko Ono,yoko-ono,18-Feb-33,,"Tokyo, Japan",,Japanese,Neo-Dada|Feminist Art|Conceptual Art,performance,performance|installation,Joseph Beuys,,https://en.wikipedia.org/wiki/Yoko_Ono,,en.wikipedia.org,,,,,
Mierle Laderman Ukeles,mierle-laderman-ukeles,1939,,"Denver, United States",,American|Jewish,Feminist Art|Environmental Art (Land art)|Performance Art,performance|installation,performance|photography|installation,,,https://en.wikipedia.org/wiki/Mierle_Laderman_Ukeles,,,,,,,
Judy Chicago,judy-chicago,20-Jul-39,,"Chicago, Illinois, United States",,American,Feminist Art,installation,painting|sculpture|installation,Georgia O'Keeffe|Frida Kahlo|Miriam Schapiro|Arts and Crafts,Feminist Art,https://en.wikipedia.org/wiki/Judy_Chicago,,,,,,,"University of California (UCLA), Los Angeles, CA, US"
May Wilson,may-wilson,1905,1986,"Baltimore, Maryland, United States",,American,Feminist Art|Mail Art|Pop Art,,painting|sculpture|collage,,,https://en.wikipedia.org/wiki/May_Wilson,,,,,,,
Faith Ringgold,faith-ringgold,8-Oct-30,,"Manhattan, New York, United States",,American,Feminist Art|Fiber Art|Black Arts Movement|Harlem Renaissance (New Negro Movement),,painting|sculpture|performance,,,https://en.wikipedia.org/wiki/Faith_Ringgold,,,,,,,
Rebecca Horn,rebecca-horn,24-Mar-44,,"Michelstadt, Hesse, Germany",,German,Performance Art|Feminist Art,installation|performance,sculpture|design|drawing|performance|installation,,,https://en.wikipedia.org/wiki/Rebecca_Horn,,,,,,,
