name,url_name,Birth Date,Death Date,Birth place,Death place,Nationality,Art Movement,Genre,Field,Influenced by,Influenced on,Wikipedia,Painting School,Official site,Friends and Co-workers,Family and Relatives,Pupils,Teachers,Art institution
William Dobson,william-dobson,1611,1646,"London, United Kingdom",,British,Baroque,portrait,painting,Titian|Anthony van Dyck,,https://en.wikipedia.org/wiki/William_Dobson,,,,,,,
Salvator Rosa,salvator-rosa,"July 22, 1615","March 15, 1673","Naples, Italy","Rome, Italy",Italian,Baroque,,,,,https://en.wikipedia.org/wiki/Salvator_Rosa,,,Claude Lorrain|Gian Lorenzo Bernini,,,,
Karel Škréta,karel-skreta,c.1610,"July 30, 1674","Prague, Czech Republic","Prague, Czech Republic",Czech,Baroque,portrait,painting,,,https://en.wikipedia.org/wiki/Karel_%C5%A0kr%C3%A9ta,,,,,,,
Willem Kalf,willem-kalf,1619,"July 31, 1693","Rotterdam, Netherlands",,Dutch,Baroque|Dutch Golden Age,still life,painting,,Juriaen van Streeck,https://en.wikipedia.org/wiki/Willem_Kalf,,,,,,,
Carel Fabritius,carel-fabritius,"February 27, 1622","October 12, 1654",Netherlands,"Delft, Netherlands",Dutch,Baroque|Dutch Golden Age,,painting|drawing,Rembrandt,Johannes Vermeer|Pieter de Hooch|Delft School,https://en.wikipedia.org/wiki/Carel_Fabritius,Delft School,,Samuel Dirksz van Hoogstraten,,Johannes Vermeer,Rembrandt,
Samuel Dirksz van Hoogstraten,samuel-dirksz-van-hoogstraten,"August 2, 1627","October 19, 1678","Dordrecht, Netherlands","Dordrecht, Netherlands",Dutch,Baroque|Dutch Golden Age,trompe-l'œil,painting|art theory,Pieter de Hooch,,https://en.wikipedia.org/wiki/Samuel_Dirksz_van_Hoogstraten,,,Carel Fabritius,,,Rembrandt,
Sassoferrato,sassoferrato,"August 25, 1609","August 8, 1685","Sassoferrato, Italy",,Italian,Baroque,,painting,Raphael|Annibale Carracci|Agostino Carracci|Guido Reni|Albrecht Durer|Guercino,,https://en.wikipedia.org/wiki/Giovanni_Battista_Salvi_da_Sassoferrato,,,,,,,
Jacob van Ruisdael,jacob-van-ruisdael,c.1628,1682,"Haarlem, Netherlands","Amsterdam, Netherlands",Dutch,Baroque|Dutch Golden Age,cloudscape|landscape,painting,Hendrick Cornelisz Vroom,John Constable|Thomas Gainsborough|J.M.W. Turner|Vincent van Gogh|Claude Monet|Piet Mondrian,https://en.wikipedia.org/wiki/Jacob_Isaakszoon_van_Ruysdael,,,Adriaen van de Velde,Salomon van Ruysdael,,,Guild of Saint Luke
Gerard Terborch,gerard-terborch,"December, 1617","December 8, 1681","Zwolle, Netherlands","Deventer, Netherlands",Dutch,Baroque|Dutch Golden Age,genre painting,painting,Diego Velazquez,Johannes Vermeer|Jacob Ochtervelt,https://en.wikipedia.org/wiki/Gerard_ter_Borch,Dutch School|Haarlem School,,,,,Willem Cornelisz Duyster|Pieter Codde,
Mario Nuzzi,mario-nuzzi,1603,1673,,,Italian,Baroque,flower painting,painting,,,https://en.wikipedia.org/wiki/Mario_Nuzzi,,,,,,,
Giovanni Battista Gaulli,giovanni-battista-gaulli,"May 8, 1639","April 2, 1709","Genoa, Italy","Rome, Italy",Italian,Rococo|Baroque,quadratura,painting|fresco,Peter Paul Rubens|Anthony van Dyck|Bernardo Strozzi|Correggio,,https://en.wikipedia.org/wiki/Giovanni_Battista_Gaulli,,,Gian Lorenzo Bernini,,,,Guild of Saint Luke
Gabriel Metsu,gabriel-metsu,"January, 1629","October, 1667","Leiden, Netherlands","Amsterdam, Netherlands",Dutch,Baroque|Dutch Golden Age,,painting,Gerrit Dou|Johannes Vermeer,Jacob Ochtervelt,https://en.wikipedia.org/wiki/Gabri%C3%ABl_Metsu,Dutch School|Leiden School,,Jan Steen,,Michiel van Musscher,Gerrit Dou|Nikolaus Knüpfer,
Giulia Lama,giulia-lama,"October 1, 1681","October 7, 1747","Venice, Italy","Venice, Italy",Italian,Baroque,,painting,,,https://en.wikipedia.org/wiki/Giulia_Lama,,,,,,,
Frank Mason,frank-mason,20-Feb-21,16-Jun-09,"Cleveland, Ohio, United States",United States,American,Classical Realism,portrait,painting|graphics,,,https://en.wikipedia.org/wiki/Frank_Herbert_Mason,,www.frankmason.org,,,,,"Art Students League of New York, New York City, NY, US"
Rosalba Carriera,rosalba-carriera,"October 7, 1675","April 15, 1757","Venice, Italy","Dorsoduro, Venice, Italy",Italian,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Rosalba_Carriera,,,Giambattista Pittoni,,,,
George Morland,george-morland,"June 26, 1763","October 29, 1804","London, United Kingdom","Brighton, United Kingdom",British,Rococo,animal painting|genre painting,painting,,John Quidor,https://en.wikipedia.org/wiki/George_Morland,English school,,,,,,
Antoine Watteau,antoine-watteau,"October 10, 1684","July 18, 1721","Valenciennes, France","Nogent-sur-Marne, France",French,Rococo,pastorale,painting|architecture,,J.M.W. Turner|Pierre-Auguste Renoir|Pablo Picasso|Henri Matisse,https://en.wikipedia.org/wiki/Antoine_Watteau,,,,,,,
Jean-Baptiste Oudry,jean-baptiste-oudry,"March 17, 1686","April 30, 1755","Paris, France","Beauvais (Oise), France",French,Rococo,,painting|engraving,,,https://en.wikipedia.org/wiki/Jean-Baptiste_Oudry,,,,,,,
Jean-Marc Nattier,jean-marc-nattier,"March 17, 1685","November 7, 1766","Paris, France","Paris, France",French,Rococo,,painting,,,https://en.wikipedia.org/wiki/Jean-Marc_Nattier,,,,,,,
Giovanni Battista Tiepolo,giovanni-battista-tiepolo,"March 5, 1696","March 27, 1770","Venice, Italy","Madrid , Spain",Italian,Rococo,,painting|printmaking,Rembrandt|Tintoretto|Paolo Veronese,,https://en.wikipedia.org/wiki/Giovanni_Battista_Tiepolo,Venetian School,,,Francesco Guardi|Giovanni Domenico Tiepolo,Giovanni Domenico Tiepolo,,
Giambattista Pittoni,giambattista-pittoni,"June 6, 1687","November 6, 1767","Venice, Italy","Venice, Italy",Italian,Baroque|Rococo,religious painting,painting,,,https://en.wikipedia.org/wiki/Giambattista_Pittoni,,,Rosalba Carriera,,,,
William Hogarth,william-hogarth,"November 10, 1697","October 26, 1764","London, United Kingdom","London, United Kingdom",British,Rococo,,painting|printmaking|illustration,,John Quidor,https://en.wikipedia.org/wiki/William_Hogarth,English school,,,,Thomas Gainsborough,,
Jean-Baptiste van Loo,jean-baptiste-van-loo,"January 14, 1684","December 19, 1745","Aix-en-Provence, France","Aix-en-Provence, France",French,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Jean-Baptiste_van_Loo,,,,,,,
Jean-Baptiste-Simeon Chardin,jean-baptiste-simeon-chardin,"November 2, 1699","December 6, 1779","Paris, France","Paris, France",French,Baroque|Rococo,genre painting|still life,painting,Dutch Golden Age,Antonio de La Gándara|Paul Cezanne|Edouard Manet|Vincent van Gogh,https://en.wikipedia.org/wiki/Jean-Baptiste-Sim%C3%A9on_Chardin,,,,,,,
Antoine Pesne,antoine-pesne,"April 29, 1683","August 5, 1757","Paris, France","Berlin, Germany",German|French,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Antoine_Pesne,,,,,,,
Francois Boucher,francois-boucher,"September 29, 1703","May 30, 1770","Paris, France","Paris, France",French,Rococo,pastorale,painting,,Pierre-Auguste Renoir,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Boucher,,,,,Jacques-Louis David,François Lemoyne,
François Lemoyne,francois-lemoyne,1688,"June 4, 1737","Paris, France",,French,Rococo,,painting,Paolo Veronese,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Lemoyne,,,,,Francois Boucher,,"Académie Royale de Peinture et de Sculpture, Paris, France"
George Lambert,george-lambert,1700,"November 30, 1765",,,British,Rococo,landscape,painting,,,https://en.wikipedia.org/wiki/George_Lambert_(English_painter),,,,,,,
Thomas Gainsborough,thomas-gainsborough,"May 14, 1727","August 2, 1788","Sudbury, Suffolk, United Kingdom","London, United Kingdom",British,Rococo,landscape|portrait,painting,Anthony van Dyck|Jacob van Ruisdael,John Constable|Alfred Sisley|John Singer Sargent|Paul-Albert Besnard|Jacques-Émile Blanche,https://en.wikipedia.org/wiki/Thomas_Gainsborough,English school,,,,,William Hogarth,"Royal Academy of Arts (RA), London, UK"
Canaletto,canaletto,"October 28, 1697","April 19, 1768","Venice, Italy","Venice, Italy",Italian,Baroque|Rococo,cityscape,painting|printmaking,,,https://en.wikipedia.org/wiki/Canaletto,Venetian School,,,Bernardo Bellotto,Bernardo Bellotto,,
Pietro Longhi,pietro-longhi,1701,1785,"Venice, Italy","Venice, Italy",French,Rococo,genre painting,painting,,,https://en.wikipedia.org/wiki/Pietro_Longhi,,,,,,,
Maurice Quentin de La Tour,maurice-quentin-de-la-tour,"August 5, 1704","February 17, 1788","Saint-Quentin, Aisne, France","Saint-Quentin, Aisne, France",French,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Maurice_Quentin_de_La_Tour,,,,,,,
Pompeo Batoni,pompeo-batoni,"January 25, 1708","February 4, 1787","Lucca, Italy","Rome, Italy",Italian,Rococo|Neoclassicism,portrait,painting,Raphael|Nicolas Poussin|Claude Lorrain|Rococo,,https://en.wikipedia.org/wiki/Pompeo_Batoni,,,,,,,
Bernardo Bellotto,bernardo-bellotto,c.1721,"October 17, 1780","Venice, Italy","Warsaw, Poland",Italian,Rococo,cityscape,painting|printmaking,,,https://en.wikipedia.org/wiki/Bernardo_Bellotto,Venetian School,,,Canaletto,,Canaletto,"Dresden Academy of Fine Arts, Dresden, Germany"
Jean-Étienne Liotard,jean-etienne-liotard,"December 22, 1702","June 12, 1789","Geneva, Switzerland","Geneva, Switzerland",Swiss,Rococo,portrait,painting|drawing,,,https://en.wikipedia.org/wiki/Jean-%C3%89tienne_Liotard,,,,,,,
Allan Ramsay,allan-ramsay,"October 13, 1713","August 10, 1784","Edinburgh, United Kingdom","Dover, United Kingdom",British,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Allan_Ramsay_(artist),Scottish School,,,,,,
Joshua Reynolds,joshua-reynolds,"July 16, 1723","February 23, 1792","Plympton, United Kingdom","London, United Kingdom",British,Rococo,portrait,painting,Diego Velazquez|Jacob van Ruisdael|Titian,Paul-Albert Besnard,https://en.wikipedia.org/wiki/Joshua_Reynolds,English school,,,,Paul-Albert Besnard,,"Royal Academy of Arts (RA), London, UK"
Joseph-Marie Vien,joseph-marie-vien,"June 18, 1716","March 27, 1809","Montpellier, France",,French,Rococo|Neoclassicism,,painting,,,https://en.wikipedia.org/wiki/Joseph-Marie_Vien,,,,,Jacques-Louis David,,
Richard Wilson,richard-wilson,"August 1, 1714","May 15, 1782","Penegoes, Montgomeryshire, United Kingdom","Colomendy Hall near Llanferres, Denbighshire, Wales, United Kingdom",British,Rococo,landscape,painting,,,https://en.wikipedia.org/wiki/Richard_Wilson_(painter),,,,,,,
David Morier,david-morier,c.1705,"January 8, 1770","Bern, Switzerland","London, United Kingdom",Swiss|British,Rococo,history painting|portrait,,,,https://en.wikipedia.org/wiki/David_Morier,,,,,,,
Johann Georg Pinzel,johann-georg-pinzel,c.1707,c.1761,,"Buchach, Ukraine",Ukrainian|Czech,Rococo|Baroque,sculpture,sculpture,Michelangelo|Gian Lorenzo Bernini,,https://en.wikipedia.org/wiki/Johann_Georg_Pinsel,,,,,,,
Jean-Baptiste Pigalle,jean-baptiste-pigalle,"January 26, 1714","August 20, 1785","Rueil-malmaison / Rueil, France","Paris, France",French,Rococo|Neoclassicism,sculpture,sculpture,,,https://en.wikipedia.org/wiki/Jean-Baptiste_Pigalle,,,,,Jean-Antoine Houdon,,"Académie Royale de Peinture et de Sculpture, Paris, France"
Jean-Honore Fragonard,jean-honore-fragonard,"April 5, 1732","August 22, 1806","Grasse, France","Paris, France",French,Rococo,,painting|drawing|etching,Dutch Golden Age,Pierre-Auguste Renoir|Berthe Morisot|Yinka Shonibare|Lisa Yuskavage,https://en.wikipedia.org/wiki/Jean-Honor%C3%A9_Fragonard,,,,Berthe Morisot,,,"École des Beaux-Arts, Paris, France"
Joseph Wright,joseph-wright,"September 3, 1734","August 29, 1797","Derby, United Kingdom","Derby, United Kingdom",British,Neoclassicism|Romanticism,,painting,,John Quidor,https://en.wikipedia.org/wiki/Joseph_Wright_of_Derby,,,,,Lemuel Francis Abbott,,
Hubert Robert,hubert-robert,"May 22, 1733","April 15, 1808","Paris, France",,French,Rococo,capriccio,painting|drawing,,,https://en.wikipedia.org/wiki/Hubert_Robert,,,,,Louis-Philippe Crépin,,
George Romney,george-romney,"December 26, 1734","November 15, 1802","Dalton-in-Furness, Lancashire, United Kingdom","Kendal, Westmorland, United Kingdom",British,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/George_Romney_(painter),English school,,,,,,
Jean-Baptiste Greuze,jean-baptiste-greuze,"August 21, 1725","March 4, 1809","Tournus, France","Paris, France",,Rococo,genre painting|portrait,painting,Dutch Golden Age,,https://en.m.wikipedia.org/wiki/Jean-Baptiste_Greuze,,,,,,,
Giovanni Domenico Tiepolo,giovanni-domenico-tiepolo,"August 30, 1727","March 3, 1804","Venice, Italy","Venice, Italy",Italian,Rococo,,painting|printmaking,,,https://en.wikipedia.org/wiki/Giovanni_Domenico_Tiepolo,,,,Giovanni Battista Tiepolo,,Giovanni Battista Tiepolo,
Benjamin West,benjamin-west,"October 10, 1738","March 11, 1820","Springfield, Pennsylvania, United States","London, United Kingdom",American|British,Rococo|Neoclassicism,history painting,painting,Nicolas Poussin|Anton Raphael Mengs,,https://en.wikipedia.org/wiki/Benjamin_West,,,,,Gilbert Stuart,,"Royal Academy of Arts (RA), London, UK|Pennsylvania Academy of the Fine Arts, Philadelphia, PA, US"
Fyodor Rokotov,fyodor-rokotov,1736,"December 24, 1808","Moscow, Russian Federation","Moscow, Russian Federation",Russian,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Fyodor_Rokotov,,,,,,,
Giovanni Paolo Panini,giovanni-paolo-panini,"June 17, 1691","October 21, 1765","Piacenza, Italy",,Italian,Baroque,capriccio|veduta,painting|architecture,,Claude-Joseph Vernet,https://en.wikipedia.org/wiki/Giovanni_Paolo_Pannini,,,,,,,
Carl-Ludwig Johann Christineck,carl-ludwig-johann-christineck,c.1732,c.1792,"Saint-Petersburg, Russian Federation","Saint-Petersburg, Russian Federation",Russian|German,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Carl-Ludwig_Christinek,,,,,,,
Paul Revere,paul-revere,"December 21, 1734","May 10, 1818","North End, Boston, Massachusetts, United States","Boston, Massachusetts, United States",American,Rococo,,illustration|engraving,,,https://en.wikipedia.org/wiki/Paul_Revere,,,,,,,
Dmitry Levitzky,dmitry-levitzky,c.1735,"April 4, 1822","Kyiv, Ukraine","Saint Petersburg , Russian Federation",Russian|Ukrainian,Rococo|Neoclassicism,portrait,,,,https://en.wikipedia.org/wiki/Dmitry_Levitzky,,,,,Vladimir Borovikovsky,,
Joseph Duplessis,joseph-duplessis,"September 25, 1725","April 1, 1802","Carpentras, France","Versailles, France",French,Rococo|Neoclassicism,portrait,painting,,,https://en.wikipedia.org/wiki/Joseph_Duplessis,,,,,,,"Guild of Saint Luke|Académie Royale de Peinture et de Sculpture, Paris, France"
William Williams,william-williams,1727,"April 27, 1791","Bristol, United Kingdom","Bristol, United Kingdom",American|British,Rococo,,painting,,,https://en.wikipedia.org/wiki/William_Williams_(artist),,,,,,,
Angelica Kauffman,angelica-kauffman,"October 30, 1741","November 5, 1807","Chur, Graubünden, Switzerland","Rome, Italy",Swiss,Neoclassicism|Rococo,,painting,Anton Raphael Mengs,,https://en.wikipedia.org/wiki/Angelica_Kauffman,,,,,,,"Royal Academy of Arts (RA), London, UK"
Anne Vallayer-Coster,anne-vallayer-coster,"December 21, 1744","February 28, 1818","Bièvre, France",France,French,Rococo,portrait|still life,painting,,,https://en.wikipedia.org/wiki/Anne_Vallayer-Coster,,,,,,,
John Russell,john-russell,"March 29, 1745","April 20, 1806","Guildford, Surrey, United Kingdom","Hull, United Kingdom",British,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/John_Russell_(painter),,,,,,,
Joseph Ducreux,joseph-ducreux,"June 26, 1735","July 24, 1802","Nancy, France","near Saint-Denis, France",French,Rococo,portrait|tronie,painting|engraving,,,https://en.wikipedia.org/wiki/Joseph_Ducreux,,,,,,,
Louise Elisabeth Vigee Le Brun,louise-elisabeth-vigee-le-brun,"April 16, 1755","March 30, 1842","Paris, France","Paris, France",French,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Louise_%C3%89lisabeth_Vig%C3%A9e_Le_Brun,,,,,,,
Luis Paret y Alcazar,luis-paret-y-alcazar,"February 11, 1746","February 14, 1799","Madrid, Spain",Spain,Spanish,Rococo,genre painting|veduta,painting,,,https://en.wikipedia.org/wiki/Luis_Paret_y_Alc%C3%A1zar,,,,,,,
Ralph Earl,ralph-earl,"May 11, 1751","August 16, 1801","Shrewsbury or Leicester, Massachusetts, United States","Bolton, Connecticut, United States",American,Rococo,portrait,painting|printmaking,,,https://en.wikipedia.org/wiki/Ralph_Earl,,,,,,,
Charles Willson Peale,charles-willson-peale,"April 15, 1741","February 22, 1827","Chester, Maryland, United States","Philadelphia, Pennsylvania, United States",American,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Charles_Willson_Peale,,,,Rembrandt Peale,,,
Johann Anton de Peters,johann-anton-de-peters,1725,1795,"Cologne, Germany",Germany,German,Rococo,,painting|etching,,,https://en.wikipedia.org/wiki/Johann_Anton_de_Peters,,,,,,,
Anton Raphael Mengs,anton-raphael-mengs,"March 22, 1728","June 29, 1779",Germany,"Rome, Italy",German,Neoclassicism|Baroque,portrait|religious painting,painting,Raphael|Correggio|Titian,Jacques-Louis David|Vincenzo Camuccini|Benjamin West|Angelica Kauffman|John Flaxman|Gavin Hamilton,https://en.wikipedia.org/wiki/Anton_Raphael_Mengs,,,,,Francisco Goya,,
Gilbert Stuart,gilbert-stuart,"December 3, 1755","July 9, 1828","Saunderstown, Washington County, Rhode Island, United States","Boston, Massachusetts, United States",American,Rococo|Romanticism,portrait,painting,,,https://en.wikipedia.org/wiki/Gilbert_Stuart,,,,,,Benjamin West,
Francisco Bayeu y Subias,francisco-bayeu-y-subias,"March 9, 1734","August 4, 1795","Zaragoza, Aragon, Spain",,Spanish,Rococo|Neoclassicism,,painting|fresco,,,https://en.wikipedia.org/wiki/Francisco_Bayeu_y_Sub%C3%ADas,,,,,,José Luzán,
Lemuel Francis Abbott,lemuel-francis-abbott,c.1760,"December 5, 1802",United Kingdom,,British,Rococo,portrait,painting,,,https://en.wikipedia.org/wiki/Lemuel_Francis_Abbott,,,,,,Joseph Wright,
José Campeche,jose-campeche,"c.December 23, 1751","November 7, 1809","San Juan, Puerto Rico","San Juan, Puerto Rico",Puerto Rican,Rococo,,painting|drawing,,,https://en.wikipedia.org/wiki/Jos%C3%A9_Campeche,,,,,,,
Thomas Lawrence,thomas-lawrence,"April 13, 1769","January 7, 1830","Bristol, United Kingdom","London, United Kingdom",British,Rococo|Romanticism,portrait,painting,,,https://en.wikipedia.org/wiki/Thomas_Lawrence,,,,,John Frederick Lewis,,
Vladimir Borovikovsky,vladimir-borovikovsky,"July 24, 1757","April 6, 1825","Myrhorod, Ukraine","Saint Petersburg, Russian Federation",Russian|Ukrainian,Rococo|Neoclassicism,portrait,painting,,,https://en.wikipedia.org/wiki/Vladimir_Borovikovsky,,,,,Alexey Venetsianov,Dmitry Levitzky,
Francisco Goya,francisco-goya,"March 30, 1746","April 16, 1828","Fuendetodos, Spain","Bordeaux, France",Spanish,Romanticism,,painting|printmaking,Albrecht Durer|Diego Velazquez,Pablo Picasso|Chaim Soutine|Roberto Montenegro|Jose Clemente Orozco|Pierre-Auguste Renoir,https://en.wikipedia.org/wiki/Francisco_Goya,,,,Rosario Weiss Zorrilla,Rosario Weiss Zorrilla,José Luzán|Anton Raphael Mengs,"Real Academia de Bellas Artes de San Fernando, Madrid, Spain"
Vieira Portuense,vieira-portuense,"May 13, 1765","May 2, 1805","Porto, Portugal","Funchal, Madeira, Portugal",Portuguese,Rococo|Neoclassicism,,painting,,,https://en.wikipedia.org/wiki/Vieira_Portuense,,,,,,,
John Jackson,john-jackson,"May 31, 1778","June 1, 1831","Lastingham, Yorkshire, United Kingdom","St John's Wood, London, United Kingdom",British,Rococo,portrait,,,,https://en.wikipedia.org/wiki/John_Jackson_(painter),English school,,,,,,
William Hamilton,william-hamilton,"May 14, 1751","August 2, 1801","Chelsea, London, United Kingdom",,British,Neoclassicism,illustration,painting,,,https://en.wikipedia.org/wiki/William_Hamilton_(painter),,,,,,,"Royal Academy of Arts (RA), London, UK"
Hendrik Voogd,hendrik-voogd,"July 10, 1768","September 4, 1839",Netherlands,Italy,Dutch,Romanticism|Rococo,landscape,painting,,,https://en.wikipedia.org/wiki/Hendrik_Voogd,,,,,,,
Nicolas Poussin,nicolas-poussin,"June 15, 1594","November 19, 1665","Les Andelys, France","Rome, Italy",French,Baroque,,painting,Raphael|Pietro da Cortona|Titian|Guido Reni,Jacques-Louis David|Jean Auguste Dominique Ingres|Paul Cezanne|Sebastien Bourdon,https://en.wikipedia.org/wiki/Nicolas_Poussin,,,Jacques Stella|Claude Lorrain,,,Georges Lallemand,
Pierre-Henri de Valenciennes,pierre-henri-de-valenciennes,"December 6, 1750","February 16, 1819",,,French,Neoclassicism,landscape,painting,,,https://en.wikipedia.org/wiki/Pierre-Henri_de_Valenciennes,,,,,,,
Franz Xaver Winterhalter,franz-xaver-winterhalter,"April 20, 1805","July 8, 1873","Menzenschwand, Germany","Frankfurt am Main, Germany",German,Neoclassicism|Romanticism,portrait,painting|lithography,,,https://en.wikipedia.org/wiki/Franz_Xaver_Winterhalter,,,,,,,
Christina Robertson,christina-robertson,1796,1854,"Fife, United Kingdom","Saint Petersburg, Russian Federation",British,Academic Art,portrait,,,,https://en.wikipedia.org/wiki/Christina_Robertson,,,,,,,
Claude-Joseph Vernet,claude-joseph-vernet,"August 14, 1714","December 3, 1789","Avignon, France","Paris, France",French,Neoclassicism,marina|cloudscape,painting|drawing|engraving,Giovanni Paolo Panini,,https://en.wikipedia.org/wiki/Claude_Joseph_Vernet,,,,Carle Vernet,Jean-Joseph-Xavier Bidauld|Louis-Philippe Crépin|Carle Vernet,,
Gavin Hamilton,gavin-hamilton,1723,"January 4, 1798","Lanark, United Kingdom","Rome, Italy",Scottish|British,Neoclassicism,,painting,Anton Raphael Mengs,,https://en.wikipedia.org/wiki/Gavin_Hamilton_(artist),,,,,,,
Giovanni Battista Piranesi,giovanni-battista-piranesi,"September 4, 1720","November 9, 1778","Mogliano Veneto, Italy","Rome, Italy",Italian,Baroque|Neoclassicism,cityscape,architecture|etching,,,https://en.wikipedia.org/wiki/Giovanni_Battista_Piranesi,,,,,,,
John Singleton Copley,john-singleton-copley,"July 3, 1738","September 9, 1815","Boston, United States","London, United Kingdom",American,Neoclassicism|Romanticism,portrait,painting,,Théodore Géricault,https://en.wikipedia.org/wiki/John_Singleton_Copley,,,,,,,"Royal Academy of Arts (RA), London, UK"
Nicolas Antoine Taunay,nicolas-antoine-taunay,"February 10, 1755",,France,,French,Neoclassicism,,painting,,,https://en.wikipedia.org/wiki/Nicolas-Antoine_Taunay,,,,,,,"École des Beaux-Arts, Paris, France"
James Barry,james-barry,"October 11, 1741","February 22, 1806","Cork, Ireland","London, United Kingdom",Irish,Neoclassicism|Romanticism,,painting,,,https://en.wikipedia.org/wiki/James_Barry_(painter),English school,,,,,,"Royal Academy of Arts (RA), London, UK"
Jacques-Louis David,jacques-louis-david,"August 30, 1748","December 29, 1825","Paris, France","Brussels, Belgium",French,Neoclassicism,,painting|drawing,Nicolas Poussin|Caravaggio|Annibale Carracci|Anton Raphael Mengs,Mark Ryden|Rembrandt Peale|Vincenzo Camuccini,https://en.wikipedia.org/wiki/Jacques-Louis_David,,,,,Jean Auguste Dominique Ingres|Jérôme-Martin Langlois|Antoine-Jean Gros|Pieter van Hanselaere,Francois Boucher|Joseph-Marie Vien,"Académie des Beaux-Arts, Paris, France|École des Beaux-Arts, Paris, France"
Joseph Kreutzinger,joseph-kreutzinger,"January 10, 1757","July 14, 1829","Wien, Austria","Wien, Austria",Austrian,Neoclassicism,portrait,painting,,,https://en.wikipedia.org/wiki/Joseph_Kreutzinger,,,,,,,
Mikhail Shibanov,mikhail-shibanov,1780,,,,Russian,Neoclassicism,genre painting|portrait,painting,,,https://en.wikipedia.org/wiki/Mikhail_Shibanov,,,,,,,
David Allan,david-allan,"February 13, 1744","August 6, 1796","Alloa, United Kingdom","Edinburgh, United Kingdom",British,Romanticism,,painting|illustration,,,https://en.wikipedia.org/wiki/David_Allan_(painter),,,,,,,
Jean-Antoine Houdon,jean-antoine-houdon,"March 25, 1741","July 15, 1828","Versailles, France","Paris, France",French,Neoclassicism,sculpture,sculpture,,,https://en.wikipedia.org/wiki/Jean-Antoine_Houdon,,,,,,Jean-Baptiste Pigalle,"Académie Royale de Peinture et de Sculpture, Paris, France"
Antonio Canova,antonio-canova,"November 1, 1757","October 13, 1822","Possagno, Republic of Venice, Italy","Venice, Lombardy–Venetia, Italy",Italian,Neoclassicism,sculpture,painting|sculpture,,,https://en.wikipedia.org/wiki/Antonio_Canova,,,,,,,
John Trumbull,john-trumbull,"June 6, 1756","November 10, 1843","Lebanon, Connecticut, United States","New York, New York, United States",American,Neoclassicism,history painting|portrait,painting,,,https://en.wikipedia.org/wiki/John_Trumbull,,,Thomas Cole,,,,
John Flaxman,john-flaxman,"July 6, 1755","December 7, 1826","York, United Kingdom","London, United Kingdom",British,Neoclassicism,sculpture,sculpture|drawing,Anton Raphael Mengs,,https://en.wikipedia.org/wiki/John_Flaxman,,,,,,,
François Gérard,francois-gerard,"May 4, 1770","January 11, 1837","Rome, Italy","Paris, France",French,Neoclassicism,portrait|battle painting,painting,,,https://en.wikipedia.org/wiki/Fran%C3%A7ois_G%C3%A9rard,,,Charles de Steuben,,,Jacques-Louis David,
Giacomo Quarenghi,giacomo-quarenghi,"September 20, 1744","March 2, 1817","Bergamo, Italy","Saint Petersburg, Russian Federation",Italian|Russian,Neoclassicism,,painting|architecture,,,https://en.wikipedia.org/wiki/Giacomo_Quarenghi,,,,,,,
Christian August Lorentzen,christian-august-lorentzen,"August 10, 1749","May 8, 1828","Sønderborg / Sønderborg, Denmark","Copenhagen, Denmark",Danish,Neoclassicism|Romanticism,,painting,,,https://en.wikipedia.org/wiki/Christian_August_Lorentzen,,,,,Caspar David Friedrich,,"Royal Danish Academy of Fine Arts, Copenhagen, Denmark"
Carle Vernet,carle-vernet,"August 14, 1758","November 17, 1836","Bordeaux, France","Paris, France",French,Neoclassicism,,painting|lithography,,,https://en.wikipedia.org/wiki/Carle_Vernet,,,,Claude-Joseph Vernet|Horace Vernet,,Claude-Joseph Vernet,
Marie-Guillemine Benoist,marie-guillemine-benoist,"December 18, 1768","October 8, 1826","Paris, France",,French,Neoclassicism,genre painting|history painting,painting,,,https://en.wikipedia.org/wiki/Marie-Guillemine_Benoist,,,,,,,
Jean-Joseph-Xavier Bidauld,jean-joseph-xavier-bidauld,"April 10, 1758","October 20, 1846","Carpentras, France",,French,Neoclassicism,landscape,painting,,Camille Corot,https://en.wikipedia.org/wiki/Jean-Joseph-Xavier_Bidauld,,,,,,Claude-Joseph Vernet,"Académie des Beaux-Arts, Paris, France"
Anne-Louis Girodet,anne-louis-girodet,"January 5, 1767","December 9, 1824","Montargis, France","Paris, France",French,Romanticism,mythological painting|portrait,painting,,,https://en.wikipedia.org/wiki/Anne-Louis_Girodet_de_Roussy-Trioson,,,,,Charles-Philippe Lariviere,Jacques-Louis David,
