url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/friedel-dzubas/sudden-1976,1976,,1976,https://uploads5.wikiart.org/images/friedel-dzubas/sudden-1976.jpg,Lyrical Abstraction,abstract,Geological phenomenon|Sky|Ecoregion|Coast,,,,,
https://www.wikiart.org/en/jean-auguste-dominique-ingres/study-for-the-apotheosis-of-homer-s-profile-raphael-hands-of-apelles-raphael-racine,,,,https://uploads2.wikiart.org/images/jean-auguste-dominique-ingres/study-for-the-apotheosis-of-homer-s-profile-raphael-hands-of-apelles-raphael-racine.jpg,Neoclassicism,portrait,famous-people|Homer|parts-of-human-body,,,,,
https://www.wikiart.org/en/dorothea-rockburne/narcissus-1985,1985,,1985,https://uploads3.wikiart.org/images/dorothea-rockburne/narcissus-1985.jpg,Post-Minimalism,abstract,Line,,,,,
https://www.wikiart.org/en/maurice-utrillo/gate-saint-martin-in-paris,,,,https://uploads4.wikiart.org/images/maurice-utrillo/gate-saint-martin-in-paris.jpg!Large.jpg,Post-Impressionism,cityscape,gates-and-towers|Paris,oil|panel,,,,
https://www.wikiart.org/en/claude-monet/wood-lane,1876,,1876,https://uploads2.wikiart.org/images/claude-monet/wood-lane.jpg!Large.jpg,Impressionism,landscape,Tree|American aspen|Northern hardwood forest|Birch|Forest|Natural environment|Temperate broadleaf and mixed forest|Canoe birch|Woody plant|Woodland,,,,,
https://www.wikiart.org/en/beatrix-potter/simpkin-at-the-tailor-s-bedside-1902,1902,,1902,https://uploads4.wikiart.org/images/beatrix-potter/simpkin-at-the-tailor-s-bedside-1902.jpg!Large.jpg,Art Nouveau (Modern),illustration,Cat|Felidae|Room|Interior design|Small to medium-sized cats,,,,Illustrations for 'The Tailor of Gloucester',
https://www.wikiart.org/en/bela-czobel/bela-adalbert-czobel-still-life-baquet,,,,https://uploads8.wikiart.org/00394/images/bela-czobel/bela-adalbert-czobel-still-life-baquet.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/wojciech-siudmak/the-square-tower,,,,https://uploads4.wikiart.org/images/wojciech-siudmak/the-square-tower.jpg!Large.jpg,Fantastic Realism,symbolic painting,allegories-and-symbols|gates-and-towers|elephants|Sky|Water|Tree,,,,,
https://www.wikiart.org/en/alexei-harlamoff/two-girls-1888,1888,,1888,https://uploads6.wikiart.org/00329/images/alexei-harlamoff/harlamov-24.jpg!Large.jpg,Realism,genre painting,,,,,,
https://www.wikiart.org/en/fernand-leger/mural-1954-1,1954,,1954,https://uploads6.wikiart.org/images/fernand-leger/mural-1954-1.jpg!Large.jpg,Orphism,abstract,,,"Musee National Fernand Leger, Biot, France",,,
https://www.wikiart.org/en/terry-frost/rider-s-song-1989,1989,,1989,https://uploads0.wikiart.org/images/terry-frost/rider-s-song-1989.jpg!Large.jpg,Abstract Expressionism,abstract,Circle|Eye|Font,,,,,
https://www.wikiart.org/en/ludwig-knaus/fire-in-the-village-1854,1854,,1854,https://uploads2.wikiart.org/00266/images/ludwig-knaus/ludwig-knaus-002.jpg!Large.jpg,Realism,genre painting,fires-and-floods,oil,,,,
https://www.wikiart.org/en/lorser-feitelson/untitled-1962,1962,,1962,https://uploads0.wikiart.org/images/lorser-feitelson/untitled-1962.jpg,Hard Edge Painting,abstract,Line|Monochrome photography,,,,,
https://www.wikiart.org/en/arsen-savadov/kokto-2001-0,2001,,2001,https://uploads7.wikiart.org/00157/images/arsen-savadov/7-5.jpg!Large.jpg,Conceptual Art,photo,Tree|Natural landscape|Fungus|Mushroom|Organism,photography,,,Kokto. 2001,
https://www.wikiart.org/en/ivan-shishkin/forest-8,,,,https://uploads2.wikiart.org/images/ivan-shishkin/forest-8.jpg!Large.jpg,Realism,landscape,forests-and-trees|Tree|Forest|Natural environment|Natural landscape|Woodland|Old-growth forest|Tropical and subtropical coniferous forests|Nature|Northern hardwood forest|Spruce-fir forest,,,,,
https://www.wikiart.org/en/vincent-van-gogh/peasant-woman-head-1884-1,1884,Nunen / Nuenen,"1884; Nunen / Nuenen, Netherlands|1884|Nunen / Nuenen",https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-woman-head-1884-1.jpg!Large.jpg,Realism,sketch and study,female-portraits|Sketch|Eyebrow|Head|Forehead|Lady,chalk|paper,,,,
https://www.wikiart.org/en/nikolai-ge/peter-i-interrogates-tsarevich-alexei,,,,https://uploads1.wikiart.org/images/nikolai-ge/peter-i-interrogates-tsarevich-alexei.jpg!Large.jpg,Realism,history painting,male-portraits|famous-people|Peter-the-Great,,,,,
https://www.wikiart.org/en/vincent-van-gogh/trees-and-shrubs-1889-1,1889,Saint-rémy-de-provence,"Saint-rémy-de-provence|1889; Saint-rémy-de-provence, France|1889",https://uploads2.wikiart.org/images/vincent-van-gogh/trees-and-shrubs-1889-1.jpg!Large.jpg,Post-Impressionism,landscape,forests-and-trees|Tree|Woody plant|Plant|Organism|Conifer|Pine family,chalk|watercolor|paper,"Van Gogh Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/pierre-auguste-renoir/girl-looking-into-a-mirror,1912,,1912,https://uploads1.wikiart.org/images/pierre-auguste-renoir/girl-looking-into-a-mirror.jpg!Large.jpg,Impressionism,portrait,,,,Later Years,,
https://www.wikiart.org/en/pyotr-konchalovsky/portrait-of-french-pianist-alfred-cortot-1936,1936,,1936,https://uploads7.wikiart.org/images/pyotr-konchalovsky/portrait-of-french-pianist-alfred-cortot-1936.jpg,Expressionism,portrait,male-portraits|Pianist|Sitting|Gentleman,,,,,
https://www.wikiart.org/en/hale-woodruff/georgia-landscape-1935,1935,,1935,https://uploads6.wikiart.org/00315/images/hale-woodruff/georgia-landscape-1935-1.jpg!Large.jpg,Post-Impressionism|Cubism,landscape,Tree|Mythology,,,,,
https://www.wikiart.org/en/jo-baer/hiccup-1964,1964,,1964,https://uploads7.wikiart.org/images/jo-baer/hiccup-1964.jpg,Minimalism,abstract,,,,,,
https://www.wikiart.org/en/frank-w-benson/figure-in-a-room-1912,1912,,1912,https://uploads3.wikiart.org/00191/images/frank-w-benson/figure-in-a-room-by-frank-weston-benson-1912-oil-on-canvas-new-britain-museum-of-american-art.JPG!Large.JPG,Realism,genre painting,Picture frame,,,,,
https://www.wikiart.org/en/kuzma-petrov-vodkin/the-girl-in-sarafan-1928,1928,,1928,https://uploads6.wikiart.org/images/kuzma-petrov-vodkin/the-girl-in-sarafan-1928.jpg!Large.jpg,Symbolism,portrait,Lady,,,,,
https://www.wikiart.org/en/nan-goldin/c-z-and-max-on-the-beach-truro-ma-1976,1976,,1976,https://uploads8.wikiart.org/00322/images/nan-goldin/c-z-and-max-on-the-beach-truro-ma-1976.jpg,Contemporary,photo,,,,,,
https://www.wikiart.org/en/willi-baumeister/variation-on-eidos-i-1938,1938,,1938,https://uploads3.wikiart.org/images/willi-baumeister/variation-on-eidos-i-1938.jpg,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/odilon-redon/poppies-in-a-vase,1910,,1910,https://uploads1.wikiart.org/images/odilon-redon/poppies-in-a-vase.jpg!Large.jpg,Symbolism|Realism,flower painting,flowers-and-plants,pastel|paper,Private Collection,,,
https://www.wikiart.org/en/esteban-frances/brote,,,,https://uploads1.wikiart.org/images/esteban-frances/brote.jpg!Large.jpg,Surrealism,symbolic painting,Mythology,,,,,
https://www.wikiart.org/en/sam-francis/untitled-1984-4,1984,,1984,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,Abstract Expressionism,abstract,Graphic design,,,,,
https://www.wikiart.org/en/leopold-survage/colored-rhythms-ii,,,,https://uploads5.wikiart.org/images/l-opold-survage/colored-rhythms-ii.jpg!Large.jpg,Orphism,sketch and study,Line|Sky,,,,,
https://www.wikiart.org/en/george-frederick-watts/alfred-lord-tennyson,,,,https://uploads8.wikiart.org/images/george-frederick-watts/alfred-lord-tennyson(1).jpg!Large.jpg,Symbolism,sculpture,Statue|Classical sculpture|Bronze sculpture|Monument|Outerwear|Carving|Memorial,,Private Collection,,,
https://www.wikiart.org/en/alfred-freddy-krupa/an-alien-2019,2019,,2019|2019; Croatia,https://uploads1.wikiart.org/00242/images/alfred-freddy-krupa/img-20190627-095632.jpg!Large.jpg,Photorealism,interior,Pink|Flesh,photography,,,,
https://www.wikiart.org/en/thomas-sully/musidora-1835,1835,,1835,https://uploads5.wikiart.org/images/thomas-sully/musidora-1835.jpg,Romanticism,literary painting,Darkness,,,,,
https://www.wikiart.org/en/vik-muniz/picking-flowers-in-a-field-after-mary-cassatt-pictures-of-magazine-2-2012,2012,,2012,https://uploads8.wikiart.org/images/vik-muniz/picking-flowers-in-a-field-after-mary-cassatt-pictures-of-magazine-2-2012.jpg,Conceptual Art,photo,,,,,,
https://www.wikiart.org/en/carolus-duran/portrait-of-emily-warren-roebling-1896,1896,,1896,https://uploads3.wikiart.org/00121/images/carolus-duran/portrait-of-emily-warren-roebling-1896.jpg!Large.jpg,Realism,portrait,Lady|costume design|Victorian fashion,,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/old-town-ozalj-2006,2006,Karlovac,"2006|2006; Karlovac, Croatia|Karlovac",https://uploads6.wikiart.org/00207/images/alfred-freddy-krupa/krupa-6009-kopija-1.jpg!Large.jpg,Neo-Expressionism|Sumi-e (Suiboku-ga),veduta,Sketch|monochrome,ink|feather,,,,
https://www.wikiart.org/en/jules-lefranc/laval-porte-beucheresse,,,,https://uploads8.wikiart.org/images/jules-lefranc/laval-porte-beucheresse.jpg!Large.jpg,Naïve Art (Primitivism),cityscape,Building|Town|Medieval architecture|Arch|House|Infrastructure,,,,,
https://www.wikiart.org/en/javad-hamidi/untitle,,,,https://uploads1.wikiart.org/00137/images/javad-hamidi/pbahcvjwyp.jpg,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/paul-jacoulet/decembre-japon-1953,1953,,1953,https://uploads4.wikiart.org/images/paul-jacoulet/decembre-japon-1953.jpg!Large.jpg,Ukiyo-e,portrait,Textile,,,,,
https://www.wikiart.org/en/ohara-koson/two-green-peacocks-on-the-bough-of-a-flowering-tree,1910,,1910|c.1910; Japan,https://uploads7.wikiart.org/images/ohara-koson/two-green-peacocks-on-the-bough-of-a-flowering-tree.jpg!Large.jpg,Shin-hanga,bird-and-flower painting,birds|peacocks|Peafowl|Bird|Galliformes|Pheasant|Phasianidae,paper,,,,
