url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/eugene-boudin/laundresses-on-the-banks-of-the-touques-the-effect-of-fog,1885,,Impressionism,https://uploads6.wikiart.org/images/eugene-boudin/laundresses-on-the-banks-of-the-touques-the-effect-of-fog.jpg!Large.jpg,genre painting,rivers-and-waterfalls|washing-and-laundry|handwork|1880s paintings from France,c.1885; France|1885,oil,Private Collection,,,
https://www.wikiart.org/en/egon-schiele/girl-with-black-hair-1910,1910,,Expressionism,https://uploads4.wikiart.org/00246/images/egon-schiele/egon-schiele-schwarzhaariger-ma-dchenakt-1910.jpeg!Large.jpeg,sketch and study,Sketch|Figure drawing|Fashion illustration,1910,watercolor|pencil,"Albertina, Vienna, Austria",,,
https://www.wikiart.org/en/stephen-antonakos/mani-sky-1987,1987,,Post-Minimalism,https://uploads1.wikiart.org/images/stephen-antonakos/mani-sky-1987.jpg,installation,Light,1987,,,,,
https://www.wikiart.org/en/maximilien-luce/la-briqueterie-1908,1908,,Neo-Impressionism,https://uploads1.wikiart.org/00328/images/maximilien-luce/maximilien-luce-la-briqueterie-vers-1908-giverny-mus-e-des-impressionistes-mdig-2011-1-1.JPG!Large.JPG,genre painting,,1908,oil,,,,
https://www.wikiart.org/en/ivan-aivazovsky/biarritz,,,Romanticism,https://uploads4.wikiart.org/00380/images/ivan-aivazovsky/biarritz-ivan-konstantinovich-aivazovsky.jpg!Large.jpg,marina,,,,,,,
https://www.wikiart.org/en/giacomo-balla/iridescent-interpenetration-1913,1913,,Abstract Art,https://uploads8.wikiart.org/images/giacomo-balla/iridescent-interpenetration-1913.jpg!Large.jpg,abstract,Pattern|Symmetry|Tile,1913; Italy|1913,,,Iridescent Interpenetration,,
https://www.wikiart.org/en/noe-bordignon/autumn,,,Realism,https://uploads4.wikiart.org/00325/images/noe-bordignon/no-bordignon-1841-1922-autunno.jpg!Large.jpg,genre painting,,,,,,,
https://www.wikiart.org/en/eugene-boudin/fervaques-a-village-street-1881,1881,,Impressionism,https://uploads7.wikiart.org/images/eugene-boudin/fervaques-a-village-street-1881.jpg!Large.jpg,cityscape,streets-and-squares|Town|Street|Infrastructure|Neighbourhood|Building|Road|1880s paintings from France,1881|1881; France,oil,,,,
https://www.wikiart.org/en/david-johnson/a-study-near-tamworth-new-hampshire-1863,1863,,Romanticism,https://uploads7.wikiart.org/images/david-johnson/a-study-near-tamworth-new-hampshire-1863.jpg!Large.jpg,landscape,Tree|Natural landscape|Nature|Natural environment|Sky|Forest|Woody plant|Wilderness|Biome|Nature reserve,1863,,,,,
https://www.wikiart.org/en/robert-goodnough/shapes-movement-h-1984,1984,,Post-Painterly Abstraction,https://uploads0.wikiart.org/images/robert-goodnough/shapes-movement-h-1984.jpg,abstract,,1984,,,,,
https://www.wikiart.org/en/vasily-sadovnikov/kamennoostrovsky-bridge,1830,,Realism,https://uploads3.wikiart.org/images/vasily-sadovnikov/kamennoostrovsky-bridge.jpg!Large.jpg,cityscape,rivers-and-waterfalls|Bridge|Waterway|River,1830,,,,,
https://www.wikiart.org/en/theophile-steinlen/mere-et-enfant,,,Realism,https://uploads3.wikiart.org/images/theophile-steinlen/mere-et-enfant.jpg,sketch and study,Sketch|Figure drawing|Standing,,,,,,
https://www.wikiart.org/en/ivan-shishkin/forest-stream-3,,,Realism,https://uploads0.wikiart.org/images/ivan-shishkin/forest-stream-3.jpg!Large.jpg,landscape,rivers-and-waterfalls|forests-and-trees|Tree|Plant|Woody plant|Branch,,,,,,
https://www.wikiart.org/en/gustave-dore/the-creation-of-light,1866,,Romanticism,https://uploads5.wikiart.org/images/gustave-dore/the-creation-of-light.jpg!Large.jpg,religious painting,Christianity|Photograph|Text|Water|Stock photography,1866,,,The Holy Bible,,
https://www.wikiart.org/en/jean-metzinger/la-femme-l-ventail-woman-with-fan-1913,1913,,Cubism,https://uploads6.wikiart.org/images/jean-metzinger/la-femme-l-ventail-woman-with-fan-1913.jpg!Large.jpg,portrait,,1913,,,,,
https://www.wikiart.org/en/orest-kiprensky/view-of-mount-vesuvius-in-winter-1830,1830,,Romanticism,https://uploads6.wikiart.org/images/orest-kiprensky/view-of-mount-vesuvius-in-winter-1830.jpg!Large.jpg,landscape,Sky|Mountain|Cloud|Volcanic landform|Stratovolcano,1830,,,,,
https://www.wikiart.org/en/shirin-neshat/untitled-embrace,,,Feminist Art|Contemporary,https://uploads8.wikiart.org/00333/images/shirin-neshat/untitled-embrace.jpg,photo,,,,,,,
https://www.wikiart.org/en/m-c-escher/initial-d-1,1931,,Expressionism,https://uploads1.wikiart.org/images/m-c-escher/initial-d-1.jpg,illustration,"J.Walch. ""De-vreeselijke-avonturen-van-Scholastica""|Line",1931,,,De vreeselijke avonturen van Scholastica,,
https://www.wikiart.org/en/henri-matisse/self-portrait-1900,1900,,Fauvism,https://uploads3.wikiart.org/images/henri-matisse/self-portrait-1900.jpg!Large.jpg,self-portrait,,1900,,,,,
https://www.wikiart.org/en/koloman-moser/self-portrait-with-mermaid-1914,1914,,Art Nouveau (Modern),https://uploads7.wikiart.org/images/koloman-moser/self-portrait-with-mermaid-1914.jpg!Large.jpg,self-portrait,male-portraits|famous-people|mermaids,1914,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/andy-warhol/mobil,,,Pop Art,https://uploads5.wikiart.org/images/andy-warhol/mobil.jpg,advertisement,posters-and-advertisements,,,,,,
https://www.wikiart.org/en/rene-magritte/the-infinite-recognition-1963,1963,,Surrealism,https://uploads8.wikiart.org/images/rene-magritte/the-infinite-recognition-1963(1).jpg!Large.jpg,symbolic painting,conversations|flying|Sky|Cloud|Horizon,1963|1963; Belgium,,,,,Later Period
https://www.wikiart.org/en/jacek-yerka/archipelag,,,Surrealism,https://uploads2.wikiart.org/images/jacek-yerka/archipelag.jpg!Large.jpg,landscape,islands-and-bays|Sky,,,,,,
https://www.wikiart.org/en/alexander-calder/pryamids-and-clouds-1970,1970,,Abstract Art,https://uploads5.wikiart.org/00165/images/alexander-calder/pryamids-and-clouds-1970.jpg!Large.jpg,abstract,,1970,lithography,,,Graphic Works,MONUMENTAL WORKS: 1963–1976
