url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Period,Series,Theme
https://www.wikiart.org/en/mario-tozzi/sguardo-basso,1966,,https://uploads5.wikiart.org/images/mario-tozzi/sguardo-basso.jpg!Large.jpg,1966; Italy|1966,,portrait,,oil,,,,
https://www.wikiart.org/en/harriet-backer/farm-interior-skotta-in-baerum-1887,1887,,https://uploads1.wikiart.org/00335/images/harriet-backer/farm-interior-skotta-in-b-rum-1887.jpg!Large.jpg,1887,Naturalism,genre painting,,canvas|oil,,,,
https://www.wikiart.org/en/karl-bryullov/kleobis-and-biton-1827,1827,,https://uploads1.wikiart.org/images/karl-bryullov/kleobis-and-biton-1827(1).jpg!Large.jpg,1827,Neoclassicism,sketch and study,Greek-and-Roman-Mythology|heroes|Kleobis|Biton|Sketch|Figure drawing|Human,,,,,
https://www.wikiart.org/en/henri-rousseau/portrait-du-pere-del-artiste,,,https://uploads4.wikiart.org/images/henri-rousseau/portrait-du-pere-del-artiste.jpg,,Naïve Art (Primitivism),portrait,male-portraits|Lady,,"Museo Nacional de Bellas Artes (MNBA), Buenos Aires, Argentina",,,
https://www.wikiart.org/en/camille-corot/trees-and-rocks-at-la-serpentara-1827,1827,,https://uploads4.wikiart.org/images/camille-corot/trees-and-rocks-at-la-serpentara-1827.jpg!Large.jpg,1827,Realism,landscape,forests-and-trees|cliffs-and-rocks|Tree,paper|oil,Private Collection,,,"Italian cityscapes, landscapes and seascapes"
https://www.wikiart.org/en/charles-lapicque/l-orage-sur-br-h-t-1956,1956,,https://uploads1.wikiart.org/images/charles-lapicque/l-orage-sur-br-h-t-1956.jpg,1956,Fauvism,landscape,,,,,,
https://www.wikiart.org/en/anselm-kiefer/uraeus-2018,2018,,https://uploads2.wikiart.org/00225/images/anselm-kiefer/7z7wfapvcpod-570x570.jpg,2018,Conceptual Art,sculpture,Metropolitan area|Urban area|City|Building|Urban design|Statue,,,,,
https://www.wikiart.org/en/eugene-boudin/the-beach-at-tourg-ville-les-sablons-1893,1893,,https://uploads7.wikiart.org/images/eugene-boudin/the-beach-at-tourg-ville-les-sablons-1893.jpg,1893|1893; France,Impressionism,landscape,leisure-and-sleep|Sky|People on beach|Shore|Cloud,canvas|oil,"National Gallery, London, UK",,,
https://www.wikiart.org/en/amedeo-modigliani/portrait-of-juan-gris-1915,1915,Paris,https://uploads6.wikiart.org/images/amedeo-modigliani/portrait-of-juan-gris-1915.jpg!Large.jpg,"Paris|1915; Paris, France|1915",Expressionism,portrait,male-portraits|Chin|Cheek,canvas|oil,"Metropolitan Museum of Art (Met), New York City, NY, US",,,
https://www.wikiart.org/en/wyndham-lewis/mrs-schiff-1934,1934,,https://uploads0.wikiart.org/images/wyndham-lewis/mrs-schiff-1934.jpg!Large.jpg,1934,Expressionism,portrait,,,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/snow-tops,1895,,https://uploads5.wikiart.org/images/arkhip-kuindzhi/snow-tops.jpg!Large.jpg,1895,Realism,landscape,rivers-and-waterfalls|mountains|Mountainous landforms|Mountain|Nature|Sky|Stratovolcano|Natural landscape|Highland|Hill|Mountain range,paper|oil,,,,
https://www.wikiart.org/en/vajda-lajos/houses-in-szentendre-with-blue-sky-1935,1935,,https://uploads3.wikiart.org/images/vajda-lajos/houses-in-szentendre-with-blue-sky-1935.jpg,1935,Expressionism,cityscape,House|Home|Roof|Building,,,,,
https://www.wikiart.org/en/william-james-glackens/summer-hotel-1909,1909,,https://uploads2.wikiart.org/images/william-james-glackens/summer-hotel-1909.jpg!Large.jpg,1909; United States|1909,New Realism,landscape,cottages-and-farmhouses|Waterway,canvas|oil,Private Collection,,,
https://www.wikiart.org/en/man-ray/untitled-1,1915,,https://uploads6.wikiart.org/images/man-ray/untitled-1.jpg,1915,Cubism,sketch and study,Sketch|Line,paper|charcoal,,,,
https://www.wikiart.org/en/george-dawe/portrait-of-alexey-v-voyeykov-1778-1825-1825,1825,,https://uploads1.wikiart.org/00291/images/george-dawe/portrait-of-alexey-voyeykov-big.jpg!Large.jpg,1825,Neoclassicism,portrait,male-portraits,oil,,,,
https://www.wikiart.org/en/pasquale-celommi/il-ciabattino-ii-versione,,,https://uploads5.wikiart.org/00335/images/pasquale-celommi/pasquale-celommi-il-ciabattino-ii-versione-celommip-69.jpg!Large.jpg,,Realism,genre painting,,,,,,
https://www.wikiart.org/en/albert-bierstadt/emigrants-crossing-the-plains,1867,,https://uploads3.wikiart.org/00281/images/albert-bierstadt/emigrants-crossing-the-plains.jpg!Large.jpg,1867,Romanticism,genre painting,Nature|Sky|Natural landscape|morning|Evening|Ecoregion|Human settlement|USA|wagons|mountains,canvas|oil,,,,
https://www.wikiart.org/en/carl-bloch/rear-view-of-a-writing-man-with-a-hat-1866,1866,,https://uploads7.wikiart.org/00362/images/carl-bloch/carl-heinrich-bloch-r-ckenansicht-eines-schreibender-mann-mit-hut-a-1.jpg,1866,Realism,genre painting|portrait,Writing|reading-and-writing|male-portraits,pen|ink|wash,,,,
https://www.wikiart.org/en/dadamaino/disegno-ottico-dinamico-1964,1964,,https://uploads8.wikiart.org/images/dadamaino/disegno-ottico-dinamico-1964.jpg,1964,Op Art,abstract,Pattern|Turquoise|Azure|Line,,,,,
https://www.wikiart.org/en/phyllida-barlow/untitled-hive-2010,2010,,https://uploads4.wikiart.org/images/phyllida-barlow/untitled-hive-2010.jpg,2010,Post-Minimalism,sculpture,,,,,,
https://www.wikiart.org/en/paul-leroy/aman-i-mordecai-1884,1884,,https://uploads4.wikiart.org/00298/images/paul-leroy/paul-alexander-leroy-haman-and-mordecai-1884.jpg!Large.jpg,1884,Academicism|Orientalism,genre painting,,,,,,
https://www.wikiart.org/en/frank-stella/brazilian-merganser,1980,,https://uploads2.wikiart.org/images/frank-stella/brazilian-merganser.jpg,1980,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/jacek-malczewski/christ-and-the-samaritian-woman,,,https://uploads1.wikiart.org/images/jacek-malczewski/christ-and-the-samaritian-woman.jpg!Large.jpg,,Art Nouveau (Modern),religious painting,Christianity|female-portraits|Jesus-Christ|Picture frame|Lady,,"Lviv National Art Gallery, Lviv, Ukraine",,,
https://www.wikiart.org/en/alfred-freddy-krupa/the-other-side-of-life-2019,2019,,https://uploads8.wikiart.org/00241/images/alfred-freddy-krupa/wp-20190620-004-1.jpg!Large.jpg,2019; Croatia|2019,Street Photography,landscape|animal painting,Water|Pollution|Grass,photography,,,,
https://www.wikiart.org/en/lucy-ivanova/aloe-2017,2017,,https://uploads3.wikiart.org/00227/images/lucy-ivanova/aloe-2017-30x40-m-m-on-canvas-500-e1548337120508.jpg!Large.jpg,2017,Neo-Expressionism,figurative,Pink,,,,,
https://www.wikiart.org/en/marcelle-cahn/untitled-1973-3,1973,,https://uploads0.wikiart.org/images/marcelle-cahn/untitled-1973(1).jpg,1973,Concretism,abstract,Envelope,,,,,
https://www.wikiart.org/en/brice-marden/post-calligraphic-drawing-1998,1998,,https://uploads5.wikiart.org/images/brice-marden/post-calligraphic-drawing-1998.jpg!Large.jpg,1998,Abstract Expressionism,abstract,,,,,,
https://www.wikiart.org/en/pierre-tal-coat/untitled-1975,1975,,https://uploads2.wikiart.org/images/pierre-tal-coat/untitled-1975(1).jpg,1975,Lyrical Abstraction,,Brown,,,,,
https://www.wikiart.org/en/jozef-pankiewicz/jew-with-basket,1908,,https://uploads6.wikiart.org/00140/images/jozef-pankiewicz/yd-z-koszem-yd-tragarz-1887.jpg!Large.jpg,1908,Realism,portrait,Facial hair|Beard,canvas|oil,,,,
https://www.wikiart.org/en/donald-judd/untitled-1963-1,1963,,https://uploads2.wikiart.org/images/donald-judd/untitled-3.jpg!Large.jpg,1963,Minimalism,sculpture,,,,,,
https://www.wikiart.org/en/theodoros-stamos/infinity-field-lefkada-series-1979-3,1979,,https://uploads8.wikiart.org/images/theodoros-stamos/infinity-field-lefkada-series-1979-3(1).jpg,1979,,abstract,,,,,,
https://www.wikiart.org/en/alexis-gritchenko/hagia-sophia-1920,1920,,https://uploads4.wikiart.org/00323/images/alexis-gritchenko/hagia-sophia-1920.jpg!Large.jpg,1920,Expressionism,genre painting,,,,,,
https://www.wikiart.org/en/will-barnet/aurora-1977,1977,,https://uploads2.wikiart.org/images/will-barnet/aurora-1977.jpg,1977|1977; United States,Pop Art,genre painting,animals|cats|reading-and-writing|furniture-and-decoration,silkscreen,,,,
https://www.wikiart.org/en/ilya-repin/portrait-of-emperor-nicholas-ii-on-the-porch-1896,1896,,https://uploads4.wikiart.org/images/ilya-repin/portrait-of-emperor-nicholas-ii-on-the-porch-1896.jpg!Large.jpg,1896,Realism,portrait,Uniform|Military uniform,,,,,
https://www.wikiart.org/en/natalia-goncharova/pink-light,,,https://uploads0.wikiart.org/images/natalia-goncharova/pink-light.jpg!Large.jpg,,Post-Impressionism,landscape,forests-and-trees|mountains|Tree|Branch|Woody plant|Plant,,,,,
https://www.wikiart.org/en/constantin-blendea/unknown-title-8,,,https://uploads4.wikiart.org/images/constantin-blendea/unknown-title-8.jpg,,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/thomas-theodor-heine/from-thorheiten-1901-3,1901,,https://uploads5.wikiart.org/images/thomas-theodor-heine/from-thorheiten-1901-3.jpg!Large.jpg,1901,Art Nouveau (Modern),illustration,,,,,,
https://www.wikiart.org/en/zdzislaw-beksinski/untitled-427,,,https://uploads1.wikiart.org/images/zdislav-beksinski/untitled-239.jpg!Large.jpg,,Surrealism,symbolic painting,allegories-and-symbols|gates-and-towers,,,,,
https://www.wikiart.org/en/eugene-boudin/beach-scene-3,,,https://uploads7.wikiart.org/images/eugene-boudin/beach-scene-3.jpg!Large.jpg,,Impressionism,genre painting,leisure-and-sleep,,,,,
https://www.wikiart.org/en/vasile-dobrian/composition-with-red-triangle-1963,1963,,https://uploads2.wikiart.org/images/vasile-dobrian/composition-with-red-triangle-1963.jpg!Large.jpg,1963,Hard Edge Painting,abstract,Circle,,,,,
https://www.wikiart.org/en/roger-de-la-fresnaye/the-conquest-of-the-air,1913,,https://uploads6.wikiart.org/images/roger-de-la-fresnaye/the-conquest-of-the-air.jpg!Large.jpg,1913,Cubism,genre painting|sketch and study,Sky|Cloud|group-portraits,canvas|oil,"Musee d'Art Moderne de Troyes, Troyes, France",,,
https://www.wikiart.org/en/vasily-vereshchagin/monastery-in-a-rock-ladakh-1875,1875,,https://uploads4.wikiart.org/images/vasily-vereshchagin/monastery-in-a-rock-ladakh-1875.jpg!Large.jpg,1875,Realism,landscape,cliffs-and-rocks|Ladakh|Historic site|Ancient history|Archaeological site|Geology|Rock|Outcrop|History,panel|oil,"Museum of Russian Art (Tereshchenko Museum), Kyiv, Ukraine",,Ladakh,
https://www.wikiart.org/en/rene-magritte/plain-of-air-1940,1940,Carcasonne / Carcassonne,https://uploads5.wikiart.org/images/rene-magritte/plain-of-air-1940(1).jpg!Large.jpg,"Carcasonne / Carcassonne|1940; Carcasonne / Carcassonne, France|1940",Surrealism,symbolic painting,Sky|Leaf,,,Brussels pre-war and war years,,
https://www.wikiart.org/en/caspar-david-friedrich/coast-scene,1830,,https://uploads5.wikiart.org/images/caspar-david-friedrich/coast-scene.jpg!Large.jpg,1830,Romanticism,landscape,Sky|Sea|Cloud|Rock,,"Alte Nationalgalerie, Berlin, Germany",,,
