url,Create Date,Create Location,Date,image_url,Style,Series,Genre,tags,Media,Location,Theme,Period
https://www.wikiart.org/en/thomas-cole/mount-chocorua-new-hampshire-1827,1827,,1827,https://uploads7.wikiart.org/images/thomas-cole/mount-chocorua-new-hampshire-1827.jpg!Large.jpg,Romanticism,,landscape,rivers-and-waterfalls|mountains|Sky|Nature|Mountain|Natural landscape|Cloud|River|Tree|Atmosphere,oil|panel,Private Collection,,
https://www.wikiart.org/en/neil-welliver/pond-pass,,,,https://uploads3.wikiart.org/images/neil-welliver/pond-pass.jpg!Large.jpg,Contemporary Realism,,landscape,winter|lakes-and-ponds|forests-and-trees|Reflection|Natural landscape|Nature|Water|Tree|Natural environment|Water resources|Nature reserve|Pond|Wilderness,,,,
https://www.wikiart.org/en/ramon-oviedo/reaccion-bestial,,,,https://uploads0.wikiart.org/images/ramon-oviedo/reaccion-bestial.jpg!Large.jpg,Expressionism,,abstract,,,,,
https://www.wikiart.org/en/henri-martin/view-of-puy-l-eveque,,,,https://uploads4.wikiart.org/images/henri-martin/view-of-puy-l-eveque.jpg!Large.jpg,Impressionism,,landscape,houses-and-buildings|rivers-and-waterfalls|cliffs-and-rocks,,,,
https://www.wikiart.org/en/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885-6,1885,Nunen / Nuenen,"1885|Nunen / Nuenen|1885; Nunen / Nuenen, Netherlands",https://uploads6.wikiart.org/images/vincent-van-gogh/head-of-a-peasant-woman-with-white-cap-1885-6.jpg!Large.jpg,Realism,,portrait,female-portraits,oil|canvas,"Kunstmuseum Bern, Bern, Switzerland",,
https://www.wikiart.org/en/jean-paul-jerome/paradis-bleu-1991,1991,,1991,https://uploads5.wikiart.org/images/jean-paul-jerome/paradis-bleu-1991.jpg!Large.jpg,Hard Edge Painting,,abstract,Graphic design,,,,
https://www.wikiart.org/en/max-slevogt/francisco-d-andrade-reading-a-newspaper,1903,,1903,https://uploads4.wikiart.org/images/max-slevogt/francisco-d-andrade-reading-a-newspaper.jpg!Large.jpg,Impressionism,,portrait,male-portraits|reading-and-writing|Gentleman,,,,
https://www.wikiart.org/en/raphael-kirchner/women-dominating-landscapes-1903,1903,,1903,https://uploads1.wikiart.org/images/raphael-kirchner/women-dominating-landscapes-1903.jpg,Art Nouveau (Modern),Women Dominating Landscapes,design,female-portraits|Photograph|Adaptation|Vintage clothing|Dress,,,,
https://www.wikiart.org/en/stepan-ryabchenko/the-temptation-of-st-anthony,2010,,2010|2010; Ukraine,https://uploads7.wikiart.org/00297/images/stepan-ryabchenko/the-temptation-of-st-anthony-by-stepan-ryabchenko.jpg!Large.jpg,Digital Art,Heroes,digital,Graphic design,,,,
https://www.wikiart.org/en/tamara-de-lempicka/portrait-of-dr-boucard-1929,1929,,1929,https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-dr-boucard-1929.jpg!Large.jpg,Art Deco,,portrait,,oil|canvas,,,
https://www.wikiart.org/en/charles-robinson/the-rhine-maidens-1890-1890,1890,,1890,https://uploads6.wikiart.org/images/charles-robinson/the-rhine-maidens-1890-1890.jpg!Large.jpg,Art Nouveau (Modern),,literary painting,Botany|Fictional character,,,,
https://www.wikiart.org/en/deiryu/enso,,,,https://uploads8.wikiart.org/images/deiryu/enso.jpg,Zen,,calligraphy,,,,,
https://www.wikiart.org/en/robert-henri/en-el-bosque-1890,1890,,1890,https://uploads6.wikiart.org/00206/images/robert-henri/1890-in-the-woods.jpg!Large.jpg,American Realism,,landscape,Tree|Natural environment|Forest|Trunk|Plant|Leaf|Woodland|Botany,,,,
https://www.wikiart.org/en/oleg-holosiy/full-moon-1987,1987,,1987,https://uploads6.wikiart.org/00321/images/oleg-holosiy/1987-2.jpg!Large.jpg,Transavantgarde,,figurative,,,,,
https://www.wikiart.org/en/adalbert-schaffer/stilleben-mit-melone-munzbecher-und-deckelkrug,,,,https://uploads3.wikiart.org/00281/images/adalbert-schaffer/stilleben-mit-melone-munzbecher-und-deckelkrug.png!Large.png,Academicism,,still life,Still life photography|Fruit|Food|Watermelon,,,,
https://www.wikiart.org/en/john-leech/the-parting-breakfast,,,,https://uploads2.wikiart.org/images/john-leech/the-parting-breakfast.jpg,Romanticism,"The Battle of Life, by Charles Dickens",illustration,,,,,
https://www.wikiart.org/en/yinka-shonibare/girl-balancing-knowledge-iv-2018,2018,,2018,https://uploads6.wikiart.org/00309/images/yinka-shonibare/girl-balancing-knowledge-iv-2018.jpg!Large.jpg,Contemporary|Postcolonial art,,sculpture,Joint,,,,
https://www.wikiart.org/en/samuel-peploe/flowers,,,,https://uploads1.wikiart.org/images/samuel-peploe/flowers.jpg!Large.jpg,,,flower painting,Flower|Still life photography|Plant,,,,
https://www.wikiart.org/en/max-slevogt/the-nile-at-aswan,1914,,1914,https://uploads0.wikiart.org/images/max-slevogt/the-nile-at-aswan.jpg!Large.jpg,Impressionism,,landscape,rivers-and-waterfalls|Sky,oil|canvas,"Galerie Neue Meister, Dresden, Germany",,
https://www.wikiart.org/en/n-c-wyeth/rip-van-winkle-illustration,1921,,1921,https://uploads7.wikiart.org/images/n-c-wyeth/rip-van-winkle-illustration.jpg,Romanticism,"Washington Irving ""Rip Van Winkle""",illustration,fictional-characters|Tree|Branch|Woody plant|Plant|Trunk,,,,
https://www.wikiart.org/en/barnett-newman/thirteenth-station-1966,1966,,1966,https://uploads8.wikiart.org/images/barnett-newman/thirteenth-station-1966.jpg,Color Field Painting,The Stations of the Cross: Lema Sabachthani. 1958-1966,abstract,Violet|Material property,,,,
https://www.wikiart.org/en/carl-holsoe/afternoon-tea,,,,https://uploads6.wikiart.org/00116/images/carl-holsoe/carl-vilhelm-hols-e-www-kaifineart-com-3-1-1.jpg!Large.jpg,Expressionism,,genre painting,Lady,,,,
https://www.wikiart.org/en/isaac-israels/at-the-table-at-le-perroquet-restaurant-paris,,,,https://uploads1.wikiart.org/00326/images/isaac-israels/isaac-isra-ls-a-table-au-restaurant-le-perroquet-paris.jpg!Large.jpg,Impressionism,,portrait|genre painting,,oil,,,
