url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme
https://www.wikiart.org/en/george-frederick-watts/seascape,,,,https://uploads2.wikiart.org/images/george-frederick-watts/seascape.jpg!Large.jpg,Symbolism,marina,oil|canvas,Private Collection,seas-and-oceans|Sea|Sky,,,
https://www.wikiart.org/en/claude-monet/morning-on-the-seine-in-the-rain-1898,1898,,1898,https://uploads3.wikiart.org/images/claude-monet/morning-on-the-seine-in-the-rain-1898.jpg!Large.jpg,Impressionism,landscape,,,Water|Turquoise|Tree|Sky,,,
https://www.wikiart.org/en/joan-miro/siesta,1925,,1925,https://uploads5.wikiart.org/images/joan-miro/siesta.jpg!Large.jpg,Surrealism|Automatic Painting,abstract,oil|canvas,"Georges Pompidou Center, Paris, France",Line|Sky,,,
https://www.wikiart.org/en/amedeo-modigliani/young-man-student-1919,1919,Paris,"Paris|1919|1919; Paris, France",https://uploads2.wikiart.org/images/amedeo-modigliani/young-man-student-1919.jpg!Large.jpg,Expressionism,portrait,oil|canvas,"Solomon R. Guggenheim Museum, New York City, NY, US",male-portraits|Face|Lady|Head|Chin|Cheek,,,
https://www.wikiart.org/en/jahar-dasgupta/you-shine-brighter,,,,https://uploads0.wikiart.org/00109/images/jahar-dasgupta/you-shine-brighter.jpg!Large.jpg,,,,,Textile|Quilting,,,
https://www.wikiart.org/en/philip-guston/inscapes-words-and-images,,,,https://uploads1.wikiart.org/images/philip-guston/inscapes-words-and-images.jpg!Large.jpg,Neo-Expressionism,poster,,,posters-and-advertisements|Text|Font,Cyclops,,
https://www.wikiart.org/en/john-hoppner/lady-cavendish,,,,https://uploads6.wikiart.org/00372/images/john-hoppner/screenshot-2021-12-21-165450.png!Large.png,Romanticism,portrait,oil|canvas,,,,,
https://www.wikiart.org/en/ion-pacea/marina-6,,,,https://uploads7.wikiart.org/images/ion-pacea/marina-6.jpg!Large.jpg,Expressionism,marina,,,Water|Sky,,,
https://www.wikiart.org/en/claude-monet/charing-cross-bridge-02,1902,,1902,https://uploads7.wikiart.org/images/claude-monet/charing-cross-bridge-02.jpg!Large.jpg,Impressionism,landscape,,,Sky,Charing Cross Bridge,,
https://www.wikiart.org/en/jean-paul-lemieux/le-pr-1979,1979,,1979,https://uploads8.wikiart.org/images/jean-paul-lemieux/le-pr-1979.jpg!Large.jpg,Expressionism,landscape,,,Tree,,,
https://www.wikiart.org/en/niko-pirosmani/company-bego-2,1905,,1905|1905; Georgia,https://uploads3.wikiart.org/images/niko-pirosmani/company-bego-2(1).jpg!Large.jpg,Naïve Art (Primitivism),genre painting,oil|oilcloth,"Sighnaghi Museum, Sighnaghi, Georgia",mealtimes,,,
https://www.wikiart.org/en/salvador-dali/iesu-transfigurato-mark-9-4f-1964,1964,,1964,https://uploads8.wikiart.org/images/salvador-dali/iesu-transfigurato-mark-9-4f-1964.jpg,Abstract Expressionism|Symbolism,religious painting,,,Tree|Botany|Plant,The Biblia Sacra,Classic Period (1941-1989),
https://www.wikiart.org/en/vasily-tropinin/ukrainian-woman-in-namitke-1820,1820,,1820,https://uploads0.wikiart.org/images/vasily-tropinin/ukrainian-woman-in-namitke-1820.jpg!Large.jpg,Realism,portrait,,,female-portraits,,,
https://www.wikiart.org/en/dan-witz/lamp-in-window-2003,2003,,2003,https://uploads3.wikiart.org/00140/images/dan-witz/lamp5.jpg!Large.jpg,Hyper-Realism,interior,,,Lighting|Window,,,
https://www.wikiart.org/en/konstantin-korovin/spanish-squash-1902,1902,,1902,https://uploads0.wikiart.org/images/konstantin-korovin/spanish-squash-1902.jpg!Large.jpg,Impressionism,genre painting,,,houses-and-buildings|forests-and-trees,,,
https://www.wikiart.org/en/robert-motherwell/beside-the-sea-no-15-1962,1962,,1962,https://uploads4.wikiart.org/images/robert-motherwell/beside-the-sea-no-15-1962.jpg,Abstract Expressionism|Lyrical Abstraction,abstract,oil|paper,,,,,
https://www.wikiart.org/en/goyo-hashiguchi/kamisuki-combing-the-hair-1920,1920,,1920,https://uploads8.wikiart.org/images/goyo-hashiguchi/kamisuki-combing-the-hair-1920.jpg!Large.jpg,Shin-hanga,portrait,,,Hair|Hairstyle|Lady|Forehead|Fashion illustration,,,
https://www.wikiart.org/en/eric-fischl/a-woman-posessed,,,,https://uploads8.wikiart.org/images/eric-fischl/a-woman-posessed.jpg!Large.jpg,Contemporary Realism,genre painting,,,animals|roads-and-vehicles|Motor vehicle|Vehicle|Car,,,
https://www.wikiart.org/en/richard-paul-lohse/drei-horizontal-gruppen-mit-gelben-zentrum-variation-e,,,,https://uploads7.wikiart.org/images/richard-paul-lohse/drei-horizontal-gruppen-mit-gelben-zentrum-variation-e.jpg,Concretism,abstract,,,Turquoise|Violet|Azure|Pattern,,,
https://www.wikiart.org/en/keith-sonnier/baumgate-study-i-2000,2000,,2000,https://uploads5.wikiart.org/images/keith-sonnier/baumgate-study-i-2000.jpg,Minimalism,installation,,,Light|Text|Line|Font|Graphic design,,,
https://www.wikiart.org/en/ivan-bilibin/illustration-for-the-tale-of-prince-ivan-the-firebird-and-the-grey-wolf-1899,1899,,1899,https://uploads0.wikiart.org/images/ivan-bilibin/illustration-for-the-tale-of-prince-ivan-the-firebird-and-the-grey-wolf-1899(1).jpg!Large.jpg,Art Nouveau (Modern),illustration,,,animals|fictional-characters|Slavic-mythology|Tale-of-Ivan-Tsarevich|The-Firebird-and-the-Grey-Wolf|wolves|Text|Botany,"Tale of Ivan Tsarevich, The Firebird and the Grey Wolf",,
https://www.wikiart.org/en/julian-alden-weir/ravine-near-branchville-1915,1915,,1915,https://uploads8.wikiart.org/images/julian-alden-weir/ravine-near-branchville-1915.jpg!Large.jpg,Impressionism,landscape,oil|canvas,"Dallas Museum of Art, Dallas, TX, US",USA|forests-and-trees|cliffs-and-rocks|Tree|Nature|Vegetation|Natural landscape|Natural environment|Nature reserve|Biome|Plant community,,,
https://www.wikiart.org/en/fernand-leger/stained-glass-windows-for-the-university-of-caracas,,,,https://uploads0.wikiart.org/images/fernand-leger/stained-glass-windows-for-the-university-of-caracas.jpg!Large.jpg,Orphism,design,,"Musee National Fernand Leger, Biot, France",designs-and-sketches|Window,,,
