url,Create Date,Create Location,Date,image_url,Style,Period,Genre,Media,Location,tags,Series,Theme
https://www.wikiart.org/en/ivan-vladimirov/the-shooting-of-peasants-by-white-cossacks,,,,https://uploads1.wikiart.org/images/ivan-vladimirov/the-shooting-of-peasants-by-white-cossacks.jpg,Realism,,genre painting,,,military-and-soldiers|murder-and-suicide|revolutions|Conquistador,Cycle of documentary sketches of 1917-1922,
https://www.wikiart.org/en/albert-pinkham-ryder/childe-harold-s-pilgrimage-1895,1895,,1895,https://uploads5.wikiart.org/images/albert-pinkham-ryder/childe-harold-s-pilgrimage-1895.jpg!Large.jpg,Tonalism|Symbolism,,literary painting,,,,,
https://www.wikiart.org/en/mary-cassatt/susan-in-a-toque-trimmed-with-two-roses,1881,,1881,https://uploads5.wikiart.org/images/mary-cassatt/susan-in-a-toque-trimmed-with-two-roses.jpg!Large.jpg,Impressionism,,portrait,oil|canvas,Private Collection,female-portraits|Lady,,
https://www.wikiart.org/en/modest-cuixart/deseo-de-los-golitsyn,,,,https://uploads6.wikiart.org/images/modest-cuixart/deseo-de-los-golitsyn.jpg,Art Informel,,figurative,,,Head|Cheek,,
https://www.wikiart.org/en/jimmy-ernst/untitled-1957,1957,,1957,https://uploads4.wikiart.org/images/jimmy-ernst/untitled-1957.jpg,Abstract Expressionism,,abstract,,,Tree|Branch|Canoe birch|Line|Reflection,,
https://www.wikiart.org/en/giovanni-fattori/little-girl-in-the-woods-1890,1890,,1890,https://uploads0.wikiart.org/00360/images/giovanni-fattori/fattori-bambina-in-un-bosco-vers-1890.jpg!Large.jpg,Realism,,genre painting,,,,,
https://www.wikiart.org/en/sol-lewitt/irregular-grid,,,,https://uploads4.wikiart.org/images/sol-lewitt/irregular-grid.jpg,Post-Painterly Abstraction,,abstract,,,Pattern|Line,,
https://www.wikiart.org/en/vincent-van-gogh/the-potato-eaters-1885,1885,Nunen / Nuenen,"1885|1885; Nunen / Nuenen, Netherlands|Nunen / Nuenen",https://uploads1.wikiart.org/images/vincent-van-gogh/the-potato-eaters-1885.jpg!Large.jpg,Realism,,sketch and study,oil|canvas,"Kröller-Müller Museum, Otterlo, Netherlands",countryside|mealtimes,,
https://www.wikiart.org/en/bela-czobel/bela-czobel-house-among-the-trees,,,,https://uploads2.wikiart.org/00387/images/bela-czobel/bela-czobel-house-among-the-trees.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/henri-edmond-cross/the-choppy-sea-1903,1903,,1903,https://uploads0.wikiart.org/images/henri-edmond-cross/the-choppy-sea-1903.jpg!Large.jpg,Neo-Impressionism|Pointillism,,marina,oil|canvas,"Daniel Malingue Gallery, Paris, France",seas-and-oceans|cliffs-and-rocks,,
