url,Create Date,Create Location,image_url,Date,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/rashid-al-khalifa/metamorphosis-iv-1997,1997,,https://uploads4.wikiart.org/00278/images/rashid-al-khalifa/metamorphosis-iv-1997.jpg!Large.jpg,1997,Abstract Art,abstract,,,,,,
https://www.wikiart.org/en/vasily-perov/court-pugacheva,,,https://uploads8.wikiart.org/images/vasily-perov/court-pugacheva.jpg!Large.jpg,,Realism,genre painting,,famous-people|Yemelyan-Pugachev|Mythology|pilgrims|Prophet,,,,
https://www.wikiart.org/en/winslow-homer/the-coming-storm,,,https://uploads1.wikiart.org/images/winslow-homer/the-coming-storm.jpg!Large.jpg,,Realism,landscape,watercolor|graphite|paper,Sky|Natural landscape|Tree,,,,
https://www.wikiart.org/en/paul-henry/the-lough-of-tears-of-the-sorrowing-woman-1917,1917,,https://uploads8.wikiart.org/00282/images/paul-henry/a1d8a6d9186903d6e507f42e33f23f57.jpg,1917,Post-Impressionism,cloudscape,oil,,,,,
https://www.wikiart.org/en/carl-spitzweg/washerwomen-at-the-well,,,https://uploads8.wikiart.org/images/carl-spitzweg/washerwomen-at-the-well.jpg!Large.jpg,,Biedermeier,genre painting,canvas|oil,washing-and-laundry|Holy places,Private Collection,,,
https://www.wikiart.org/en/ivan-shishkin/birch-and-mountain-ash-1878,1878,,https://uploads3.wikiart.org/images/ivan-shishkin/birch-and-mountain-ash-1878.jpg!Large.jpg,1878,Realism,landscape,,forests-and-trees|Vegetation|Tree|Forest|Natural environment|Nature reserve|Tropical and subtropical coniferous forests|Northern hardwood forest|Jungle|Biome|Old-growth forest,,,,
https://www.wikiart.org/en/man-ray/optical-hopes-and-illusions,1928,,https://uploads6.wikiart.org/images/man-ray/optical-hopes-and-illusions.jpg!Large.jpg,1928,Dada,cityscape,canvas|oil,Sketch|monochrome,,,,
https://www.wikiart.org/en/filippo-indoni/young-shepherd-at-the-well,,,https://uploads5.wikiart.org/00330/images/filippo-indoni/12019002762.jpg!Large.jpg,,Biedermeier|Romanticism,genre painting,watercolor|paper,Ciociaro Costume,Private Collection,,,Contemporary scenes
https://www.wikiart.org/en/philip-guston/entrance,,,https://uploads2.wikiart.org/images/philip-guston/entrance.jpg!Large.jpg,,Neo-Expressionism,figurative,,,,Unpopulated,,
https://www.wikiart.org/en/m-c-escher/baby,1917,,https://uploads3.wikiart.org/images/m-c-escher/baby.jpg,1917,Expressionism,portrait,,children portraits,,,,
https://www.wikiart.org/en/raphael-kirchner/unknown-1916-4,1916,,https://uploads1.wikiart.org/images/raphael-kirchner/unknown-1916-4.jpg,1916,Art Nouveau (Modern),design,,female-portraits,,Kirchner Girls,,
https://www.wikiart.org/en/robert-henri/nocturne,,,https://uploads1.wikiart.org/images/robert-henri/nocturne.jpg!Large.jpg,,American Realism,cityscape,,,,,,
https://www.wikiart.org/en/ilya-repin/portrait-of-a-young-wife-sitting-on-the-couch-1881,1881,,https://uploads5.wikiart.org/images/ilya-repin/portrait-of-a-young-wife-sitting-on-the-couch-1881.jpg!Large.jpg,1881,Realism,portrait,paper|pencil,Sketch|Chin|Figure drawing|Jaw,,,,
