url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/jean-francois-portaels/the-tambourine-player-in-repose,,,Academicism|Orientalism,https://uploads4.wikiart.org/00338/images/jean-francois-portaels/jean-fran-ois-portaels-the-tambourine-player-in-repose-1.jpg!Large.jpg,genre painting,,,oil,,,,
https://www.wikiart.org/en/henri-matisse/landscape,,,Expressionism,https://uploads3.wikiart.org/images/henri-matisse/landscape.jpg!Large.jpg,landscape,Tree|House|Rural area,,,,,,
https://www.wikiart.org/en/andrey-shishkin/ptitsa-sva-slava-2014,2014,,Kitsch,https://uploads3.wikiart.org/00243/images/andrey-shishkin/pticza-sva-slava.jpg!Large.jpg,mythological painting,Mythology|Lady|Angel|Bird|Sky|Wing,2014; Russian Federation|2014,oil,,,,
https://www.wikiart.org/en/alaa-awad/portrait-2018-3,2018,,Neo-Expressionism,https://uploads6.wikiart.org/00207/images/alaa-awad/alaa-awad-portrait01.jpg!Large.jpg,portrait,,2018,,,,,
https://www.wikiart.org/en/edvard-munch/self-portrait-1926,1926,,Expressionism,https://uploads1.wikiart.org/images/edvard-munch/self-portrait-1926.jpg,self-portrait,male-portraits|famous-people|Edvard-Munch,1926,oil|canvas,"Munch Museum, Oslo, Norway",,Late works,
https://www.wikiart.org/en/gustave-caillebotte/the-gardener,1877,,Impressionism,https://uploads3.wikiart.org/images/gustave-caillebotte/the-gardener.jpg!Large.jpg,landscape,gardens-and-parks,1877,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/joan-miro/dutch-interior,1928,,Surrealism,https://uploads4.wikiart.org/images/joan-miro/dutch-interior.jpg!Large.jpg,interior,dreams-and-hallucinations,1928,oil|canvas,,,,
https://www.wikiart.org/en/roger-weik/far-away-2019-2019,2019,"Los Angeles, California",,https://uploads4.wikiart.org/00248/images/roger-weik/far-away-2019.JPG!Large.JPG,abstract,,"2019; Los Angeles, California, United States|Los Angeles, California|2019",,,,,
https://www.wikiart.org/en/tamara-de-lempicka/abstract-composition-with-balustrade-1953,1953,,Cubism,https://uploads8.wikiart.org/00295/images/tamara-de-lempicka/abstract-composition-with-balustrade-1953.jpg,figurative|abstract,,1953,oil|canvas,,,,
https://www.wikiart.org/en/ad-reinhardt/untitled-1954,1954,,Color Field Painting,https://uploads6.wikiart.org/images/ad-reinhardt/untitled-1954.jpg!Large.jpg,abstract,monochrome|Picture frame,1954,oil,"Whitney Museum of American Art, New York City, NY, US",,,
https://www.wikiart.org/en/taras-shevchenko/portrait-of-unknown-woman-with-violet-dress-1846,1846,,Romanticism,https://uploads0.wikiart.org/images/taras-shevchenko/portrait-of-unknown-woman-with-violet-dress-1846.jpg!Large.jpg,portrait,female-portraits|Sketch|Fashion illustration|Sitting,1846,,,,,
https://www.wikiart.org/en/remedios-varo/rheumatic-pain-1948,1948,,Metaphysical art,https://uploads4.wikiart.org/images/remedios-varo/rheumatic-pain-1948.jpg!Large.jpg,symbolic painting,allegories-and-symbols|disease-and-treatment|Column|Arch,1948,,Private Collection,,,
https://www.wikiart.org/en/salvador-dali/the-sistine-madonna,1958,,Op Art|Surrealism,https://uploads4.wikiart.org/images/salvador-dali/the-sistine-madonna.jpg!Large.jpg,religious painting,Brown|Pattern,1958,oil|canvas,,,Classic Period (1941-1989),
https://www.wikiart.org/en/aztec-art/flute,,,Post-classic (c.900-1580),https://uploads2.wikiart.org/00294/images/aztec-art/flute-w.jpg!Large.jpg,utensil,,,wood,"Metropolitan Museum of Art (Met), New York City, NY, US",,,
https://www.wikiart.org/en/zinaida-serebriakova/portrait-of-o-i-rybakova-in-childhood-1923,1923,,Expressionism,https://uploads7.wikiart.org/images/zinaida-serebriakova/portrait-of-o-i-rybakova-in-childhood-1923.jpg!Large.jpg,portrait,children portraits|Lady|Eye,1923,,,,,
https://www.wikiart.org/en/angelo-de-sousa/sculpture-in-front-of-burgo-empreendimento,,,Minimalism,https://uploads2.wikiart.org/images/angelo-de-sousa/sculpture-in-front-of-burgo-empreendimento.jpg!Large.jpg,sculpture,,,,,,,
https://www.wikiart.org/en/salvador-dali/venus-de-milo-with-drawers-1,1936,,Surrealism,https://uploads4.wikiart.org/images/salvador-dali/venus-de-milo-with-drawers-1.jpg!Large.jpg,sculpture,Classical sculpture|Statue|Figurine|Stone carving|Standing|Monument,1936,plaster,Private Collection,,Surrealism Period (1929-1940),
https://www.wikiart.org/en/oleh-sokolov/space-1979,1979,,,https://uploads6.wikiart.org/00344/images/oleh-sokolov/1979.jpg!Large.jpg,,,1979,,,,,
