url,Create Date,Create Location,Date,image_url,Style,Genre,Media,tags,Location,Series,Period,Theme
https://www.wikiart.org/en/james-tissot/shem-ham-and-japheth-1902,1902,,1902,https://uploads8.wikiart.org/images/james-tissot/shem-ham-and-japheth-1902.jpg,Symbolism,religious painting,,,,,,
https://www.wikiart.org/en/gazmend-freitag/barbara-0,2015,,2015; Austria|2015,https://uploads6.wikiart.org/00319/images/gazmend-freitag/54-1.JPG!Large.JPG,Contemporary Realism,genre painting,oil|canvas,People in nature|Nature,,,,
https://www.wikiart.org/en/august-macke/parkway,1914,,1914,https://uploads0.wikiart.org/images/august-macke/parkway.jpg!Large.jpg,Expressionism,genre painting,oil|canvas,gardens-and-parks|forests-and-trees,"Staatsgalerie Stuttgart, Stuttgart, Germany",,,
https://www.wikiart.org/en/mark-rothko/no-16-1957,1957,,1957,https://uploads2.wikiart.org/images/mark-rothko/no-16-1957.jpg!Large.jpg,Color Field Painting,abstract,oil,Rectangle,"National Gallery of Canada, Ottawa, Canada",,,
https://www.wikiart.org/en/maximilien-luce/terril-de-charbonnage-1896,1896,,1896,https://uploads4.wikiart.org/00328/images/maximilien-luce/maximilienluce001.jpeg!Large.jpeg,Neo-Impressionism,landscape,oil,,,,,
https://www.wikiart.org/en/camille-pissarro/house-on-a-cliff,1883,,1883,https://uploads4.wikiart.org/images/camille-pissarro/house-on-a-cliff.jpg!Large.jpg,Impressionism,landscape,,Picture frame|1880s paintings from France,Private Collection,,,
https://www.wikiart.org/en/felix-vallotton/coquettery-1911,1911,,1911,https://uploads2.wikiart.org/images/felix-vallotton/coquettery-1911.jpg!Large.jpg,Magic Realism,genre painting,oil|canvas,female-portraits|Lady|Sitting,,,,
https://www.wikiart.org/en/henri-martin/roses-and-geraniums-on-the-terrace-at-marquayrol,,,,https://uploads5.wikiart.org/images/henri-martin/roses-and-geraniums-on-the-terrace-at-marquayrol.jpg!Large.jpg,Divisionism,flower painting,oil|canvas,flowers-and-plants|Flowerpot|Flower|Plant|Textile,,,,
https://www.wikiart.org/en/henri-de-toulouse-lautrec/woman-combing-her-hair-1896,1896,,1896,https://uploads6.wikiart.org/images/henri-de-toulouse-lautrec/woman-combing-her-hair-1896.jpg!Large.jpg,Post-Impressionism,sketch and study,,female-portraits|designs-and-sketches|Sketch,"Brooklyn Museum, New York City, NY, US",,,
https://www.wikiart.org/en/edouard-cortes/theatre-du-vaudeville-3,,,,https://uploads0.wikiart.org/images/edouard-cortes/theatre-du-vaudeville-3.jpg!Large.jpg,Post-Impressionism,cityscape,,streets-and-squares|houses-and-buildings|theatres,,,,
https://www.wikiart.org/en/ilya-repin/death-of-fedor-chizhov-2-1877,1877,,1877,https://uploads2.wikiart.org/images/ilya-repin/death-of-fedor-chizhov-2-1877.jpg!Large.jpg,Realism,portrait,,,,,,
https://www.wikiart.org/en/pavel-filonov/west-and-east-1913,1913,,1913,https://uploads3.wikiart.org/images/pavel-filonov/west-and-east-1913.jpg!Large.jpg,Analytical Realism,allegorical painting,oil|canvas,,,,,
https://www.wikiart.org/en/spyros-papaloukas/pantokratoros-1924,1924,,1924,https://uploads7.wikiart.org/images/spyros-papaloukas/pantokratoros-1924.jpg!Large.jpg,Expressionism,cityscape,,,,,,
https://www.wikiart.org/en/henri-matisse/marguerite,1920,,1920,https://uploads4.wikiart.org/00137/images/henri-matisse/the-pierced-rock-1920.jpg,Post-Impressionism,landscape,,Cliff|Terrain,,,,
https://www.wikiart.org/en/victor-hugo/marine-terrace-with-initials-1855,1855,,1855,https://uploads7.wikiart.org/images/victor-hugo/marine-terrace-with-initials-1855.jpg!Large.jpg,Symbolism,figurative,,,,,,
https://www.wikiart.org/en/raoul-de-keyser/presto-2003,2003,,2003,https://uploads6.wikiart.org/images/raoul-de-keyser/presto-2003.jpg,New Casualism,abstract,,,,,,
https://www.wikiart.org/en/walter-sickert/minnie-cunningham-at-the-old-bedford-1892,1892,,1892,https://uploads0.wikiart.org/images/walter-sickert/minnie-cunningham-at-the-old-bedford-1892.jpg!Large.jpg,Impressionism,portrait,,famous-people|female-portraits|Outerwear,,,,
https://www.wikiart.org/en/toyota-hokkei/woman-standing-by-lacquer-tray-with-sake,,,,https://uploads7.wikiart.org/images/toyota-hokkei/woman-standing-by-lacquer-tray-with-sake.jpg!Large.jpg,Ukiyo-e,genre painting,,Geisha,,,,
https://www.wikiart.org/en/aldo-mondino/turcata-1998,1998,,1998,https://uploads4.wikiart.org/images/aldo-mondino/turcata-1998.jpg,Pop Art,genre painting,,Product,,,,
https://www.wikiart.org/en/toko-shinoda/hope-2005,2005,,2005,https://uploads1.wikiart.org/images/toko-shinoda/hope-2005.jpg,Abstract Expressionism,abstract,,Line|Botany,,,,
https://www.wikiart.org/en/petros-malayan/street-in-torun-1972,1972,,1972,https://uploads3.wikiart.org/00316/images/petros-malayan/street-in-torun-1972.jpg!Large.jpg,Magic Realism|Expressionism,cityscape,,,,,,
https://www.wikiart.org/en/mario-schifano/untitled-1990,1990,,1990,https://uploads7.wikiart.org/images/mario-schifano/untitled-1990.jpg,Pop Art|Art Informel,figurative,,,,,,
https://www.wikiart.org/en/konstantin-bogaevsky/old-harbor-1931,1931,,1931,https://uploads7.wikiart.org/images/konstantin-bogaevsky/old-harbor-1931.jpg!Large.jpg,Symbolism,landscape,,boats-and-ships|islands-and-bays|mountains|Nature|Natural landscape|Sky|Bank|Lake|Lake district|Mountain,,,,
https://www.wikiart.org/en/matthew-smith/varengeville-pres-de-dieppe-france-1911,1911,,1911,https://uploads4.wikiart.org/00229/images/matthew-smith/varengeville-pr-s-de-dieppe-france-1911.jpg!Large.jpg,Post-Impressionism,landscape,,Tree|Rural area,,,,
https://www.wikiart.org/en/luchita-hurtado/untitled-1970-2,1970,,1970,https://uploads1.wikiart.org/00334/images/luchita-hurtado/untitled-c-1970.jpg!Large.jpg,Magic Realism|Feminist Art,figurative,,,,,,
https://www.wikiart.org/en/ivan-aivazovsky/the-bay-golden-horn-1845,1845,,1845,https://uploads2.wikiart.org/images/ivan-aivazovsky/the-bay-golden-horn-1845.jpg!Large.jpg,Romanticism,cityscape,oil|canvas,sunrise-and-sunset|boats-and-ships|seas-and-oceans|moles-and-embankments|Sky|Water|Calm|Vehicle|Boat|Cloud|Waterway|Evening|Atmosphere|Sunset,,,,
https://www.wikiart.org/en/ding-yanyong/mandarin-ducks-1977,1977,,1977,https://uploads2.wikiart.org/images/ding-yanyong/mandarin-ducks-1977.jpg,Ink and wash painting|Expressionism,animal painting,,Botany|Organism,,,,
https://www.wikiart.org/en/cy-twombly/the-rose-iv,2008,,2008,https://uploads1.wikiart.org/images/cy-twombly/the-rose-iv.jpg,Abstract Expressionism,flower painting,,flowers-and-plants|Flower|Plant|Petal,,"The Rose Series, 2008",,
https://www.wikiart.org/en/bela-czobel/czobel-bela-grafika-0,,,,https://uploads8.wikiart.org/00387/images/bela-czobel/cz-bel-b-la-grafika-1.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/lee-krasner/still-life-1938,1938,,1938,https://uploads6.wikiart.org/images/lee-krasner/still-life-1938.jpg,Abstract Art,still life,,,,,,
https://www.wikiart.org/en/alfred-sisley/river-landscape-by-moret-sur-loing,1890,,1890,https://uploads1.wikiart.org/images/alfred-sisley/river-landscape-by-moret-sur-loing.jpg!Large.jpg,Impressionism,landscape,oil|canvas,rivers-and-waterfalls|forests-and-trees|Bank|Waterway|Bayou|Tree|River,Private Collection,,,
https://www.wikiart.org/en/gustave-dore/the-inferno-canto-6,,,,https://uploads3.wikiart.org/images/gustave-dore/the-inferno-canto-6.jpg!Large.jpg,Romanticism,illustration,etching,"Greek-and-Roman-Mythology|fictional-characters|Dante|Virgil|Dante-Alighieri-""The-Divine-Comedy""|Cerberus|Tree",,,,
https://www.wikiart.org/en/helene-de-beauvoir/untitled-8,,,,https://uploads0.wikiart.org/00314/images/helene-de-beauvoir/c36db0d3880dfd4f9578c98b55148bb4.jpg,Post-Impressionism,nude painting (nu),,Organism,,,,
https://www.wikiart.org/en/odilon-redon/fallen-angel-looking-at-at-cloud,1875,,1875,https://uploads7.wikiart.org/images/odilon-redon/fallen-angel-looking-at-at-cloud.jpg!Large.jpg,Symbolism,symbolic painting,oil|canvas,allegories-and-symbols|angels-and-archangels,"Stedelijk Museum, Amsterdam, Netherlands",,,
https://www.wikiart.org/en/karl-bryullov/italian-woman-with-a-child-by-a-window,1831,,1831,https://uploads8.wikiart.org/images/karl-bryullov/italian-woman-with-a-child-by-a-window(1).jpg!Large.jpg,Romanticism,genre painting,watercolor|paper,mother-and-child|Ciociaro Costume,"Pushkin Museum, Moscow, Russia",,,
https://www.wikiart.org/en/hiroshige/komokata-hall-and-azuma-bridge-1857,1857,,1857,https://uploads1.wikiart.org/00277/images/hiroshige/100-views-edo-055.jpg!Large.jpg,Ukiyo-e,landscape,woodcut,forests-and-trees|Sky,"Brooklyn Museum, New York City, NY, US",One Hundred Famous Views of Edo,,
https://www.wikiart.org/en/hedda-sterne/untitled-august-13-2001-2001,2001,,2001,https://uploads5.wikiart.org/00123/images/hedda-sterne/0cf31149c78f6c4cbb7e44306d9136ea.jpeg,,abstract,drawing,Line|Sketch|Tree,,,,
https://www.wikiart.org/en/aubrey-beardsley/the-fruit-bearers,1896,,1896,https://uploads5.wikiart.org/images/aubrey-beardsley/the-fruit-bearers.jpg!Large.jpg,Art Nouveau (Modern),genre painting,,fruits-and-vegetables|female-portraits|Stock photography,,,,
https://www.wikiart.org/en/claude-monet/norwegian-landscape-sandviken,1895,,1895,https://uploads4.wikiart.org/images/claude-monet/norwegian-landscape-sandviken.jpg!Large.jpg,Impressionism,landscape,,,,,,
https://www.wikiart.org/en/eugene-delacroix/arabs-skirmishing-in-the-mountains-1863,1863,,1863,https://uploads3.wikiart.org/images/eugene-delacroix/arabs-skirmishing-in-the-mountains-1863(1).jpg!Large.jpg,Orientalism,genre painting,oil|canvas,knights-and-warriors|horses|Strategy video game|Mythology,,,,
https://www.wikiart.org/en/erte/costume-design-8,,,,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,Art Deco,design,,designs-and-sketches|costume design|Costume,,,,
https://www.wikiart.org/en/thomas-downing/untitled-1964-1,1964,,1964,https://uploads1.wikiart.org/images/thomas-downing/untitled-1964(1).jpg,Op Art,abstract,,Pattern|Polka dot|Circle,,,,
https://www.wikiart.org/en/suzanne-valadon/maurice-utrillo-playing-with-a-sling-shot-1895,1895,Paris,"1895|Paris|1895; Paris, France",https://uploads6.wikiart.org/images/suzanne-valadon/maurice-utrillo-playing-with-a-sling-shot-1895.jpg!Large.jpg,Post-Impressionism,sketch and study,paper|crayon,famous-people|children|male-nude|games-and-toys|Maurice-Utrillo|Sketch|Figure drawing|Arm,,,,
https://www.wikiart.org/en/kuzma-petrov-vodkin/portrait-of-n-l-1922,1922,,1922,https://uploads2.wikiart.org/images/kuzma-petrov-vodkin/portrait-of-n-l-1922.jpg!Large.jpg,Symbolism,portrait,,Face|Chin|Forehead|Head|Cheek|Human,,,,
