url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Location,Media,Series,Period,Theme
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1900-8,1900,,1900,https://uploads3.wikiart.org/images/louis-comfort-tiffany/vase-1900-8.jpg,Art Nouveau (Modern),design|utensil,Vase|Ceramic|Pottery|Urn,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/window-1900,1900,,1900,https://uploads3.wikiart.org/images/louis-comfort-tiffany/window-1900.jpg,Art Nouveau (Modern),design,,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/window-1900-1,1900,,1900,https://uploads5.wikiart.org/images/louis-comfort-tiffany/window-1900-1.jpg,Art Nouveau (Modern),design,Window,,,Tiffany stained glass windows,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1902,1902,,1902,https://uploads1.wikiart.org/images/louis-comfort-tiffany/vase-1902.jpg,Art Nouveau (Modern),design|utensil,Vase|Ceramic|Pottery|Urn,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/wisteria-table-lamp-1902,1902,,1902,https://uploads8.wikiart.org/images/louis-comfort-tiffany/wisteria-table-lamp-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Lampshade|Lighting accessory|Lighting|Light fixture|Lamp|Tree|Table,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/balanced-lamp-shell-design-dome-shape-1902,1902,,1902,https://uploads8.wikiart.org/images/louis-comfort-tiffany/balanced-lamp-shell-design-dome-shape-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Brass|Lamp|Bell|Ghanta|Light fixture,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/decorative-lamp-pond-lily-design-1902,1902,,1902,https://uploads3.wikiart.org/images/louis-comfort-tiffany/decorative-lamp-pond-lily-design-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Lampshade|Lighting accessory|Light fixture|Lighting|Lamp|Still life photography,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/reading-lamp-heavy-ribs-design-spider-and-web-1902,1902,,1902,https://uploads7.wikiart.org/images/louis-comfort-tiffany/reading-lamp-heavy-ribs-design-spider-and-web-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Lampshade|Lamp|Lighting accessory|Light fixture|Lighting|Light|Tints and shades|Table|Shade,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/four-sided-hanging-lantern-1902,1902,,1902,https://uploads6.wikiart.org/images/louis-comfort-tiffany/four-sided-hanging-lantern-1902.jpg!Large.jpg,Art Nouveau (Modern),design,Pendant|Locket|Necklace|Fashion accessory|Jewellery|Chain,,,Tiffany lampshades,,
https://www.wikiart.org/en/louis-comfort-tiffany/table-1902,1902,,1902,https://uploads3.wikiart.org/images/louis-comfort-tiffany/table-1902.jpg!Large.jpg,Art Nouveau (Modern),design|furniture,Furniture|Bar stool|Stool|Table|End table,,,Tiffany furniture,,
https://www.wikiart.org/en/louis-comfort-tiffany/paperweight-1902,1902,,1902,https://uploads0.wikiart.org/images/louis-comfort-tiffany/paperweight-1902.jpg!Large.jpg,Art Nouveau (Modern),design|utensil,,,,Tiffany glass,,
https://www.wikiart.org/en/louis-comfort-tiffany/vase-1902-1,1902,,1902,https://uploads3.wikiart.org/images/louis-comfort-tiffany/vase-1902-1.jpg,Art Nouveau (Modern),design|utensil,Vase|Pottery|Ceramic,,,Tiffany glass,,
