url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/karl-lessing/landscape-with-crows,,,https://uploads4.wikiart.org/00380/images/karl-lessing/landscape-with-crows-karl-friedrich-lessing.jpg!Large.jpg,,Romanticism,landscape,Sky|Ecoregion,,oil,,"Los Angeles County Museum of Art (LACMA), Los Angeles, CA, US",
https://www.wikiart.org/en/samuel-morse/william-drayton-1818,1818,,https://uploads8.wikiart.org/00301/images/samuel-morse/colonel-william-drayton-by-morse-1818.jpg!Large.jpg,1818,Romanticism,portrait,,,oil|canvas,,"White House, Washington, DC, US",
https://www.wikiart.org/en/william-blake/nebuchadnezzar-1795,1795,,https://uploads4.wikiart.org/images/william-blake/nebuchadnezzar-1795.jpg!Large.jpg,1795,Symbolism,symbolic painting,allegories-and-symbols|famous-people|Nebuchadnezzar|Tree|Wildlife,,engraving,,"Tate Modern, London, UK",
https://www.wikiart.org/en/rene-magritte/project-of-poster-the-center-of-textile-workers-in-belgium-celebration-on-18th-september-1938,1938,Brussels,https://uploads0.wikiart.org/images/rene-magritte/project-of-poster-the-center-of-textile-workers-in-belgium-celebration-on-18th-september-1938(1).jpg!Large.jpg,"1938; Brussels, Belgium|1938|Brussels",Surrealism,poster,,Brussels pre-war and war years,,,"Royal Museums of Fine Arts of Belgium, Brussels, Belgium",
https://www.wikiart.org/en/william-collins/eel-pots,,,https://uploads4.wikiart.org/images/william-collins/eel-pots.jpg!Large.jpg,,Romanticism,landscape,Bank|Waterway|Natural landscape|Bayou|Tree|River|morning,,,,,
https://www.wikiart.org/en/remedios-varo/pain-1948,1948,,https://uploads3.wikiart.org/images/remedios-varo/pain-1948.jpg!Large.jpg,1948,Metaphysical art,symbolic painting,allegories-and-symbols,,,,,
https://www.wikiart.org/en/claude-monet/pourville-sunset,1882,,https://uploads0.wikiart.org/images/claude-monet/pourville-sunset.jpg!Large.jpg,1882,Impressionism,landscape,Sky|Rock|Cliff|Terrain,,,,,
https://www.wikiart.org/en/kamal-ol-molk/doshan-tappeh-street-1899,1899,,https://uploads1.wikiart.org/images/kamal-ol-molk/doshan-tappeh-street-1899.jpg!Large.jpg,"1899; Iran, Islamic Republic of|1899",Safavid Period,landscape,gardens-and-parks|streets-and-squares|Natural landscape|Nature|Tree|Sky|Natural environment|Nature reserve|Walkway|Forest|Botany|morning,,oil|canvas,,"Golestan Palace, Tehran, Iran",
https://www.wikiart.org/en/morris-louis/drawing-d88-1948,1948,,https://uploads0.wikiart.org/images/morris-louis/drawing-d88-1948.jpg!Large.jpg,1948,Abstract Expressionism,figurative,Sketch|Text|Line|Organism,Early Works,paper|ink|pen,,"Philips Collection, Washington, DC, US",
https://www.wikiart.org/en/pierre-auguste-renoir/portrait-of-jean-renoir-1895,1895,,https://uploads3.wikiart.org/images/pierre-auguste-renoir/portrait-of-jean-renoir-1895.jpg!Large.jpg,1895,Impressionism,portrait,Face|Child|Cheek|Head|Nose,Later Years,,,Private Collection,
https://www.wikiart.org/en/salvador-dali/imperial-violets-1938,1938,,https://uploads6.wikiart.org/images/salvador-dali/imperial-violets-1938.jpg!Large.jpg,1938,Surrealism,landscape,Sky|Boating,Surrealism Period (1929-1940),oil|canvas,,Private Collection,
https://www.wikiart.org/en/martial-raysse/raysseland-1965,1965,,https://uploads1.wikiart.org/images/martial-raysse/raysseland-1965.jpg!Large.jpg,1965,Pop Art,nude painting (nu),,,,,,
https://www.wikiart.org/en/nicolae-grigorescu/farmhouse-yard,,,https://uploads4.wikiart.org/images/nicolae-grigorescu/farmhouse-yard.jpg!Large.jpg,,Realism,genre painting,,,,,,
https://www.wikiart.org/en/william-adolphe-bouguereau/song-of-the-angels-1881,1881,,https://uploads3.wikiart.org/images/william-adolphe-bouguereau/song-of-the-angels-1881.jpg!Large.jpg,1881,Academicism,religious painting,Christianity|Virgin-and-Child|angels-and-archangels|Mythology|Angel|1880s paintings from France,,oil|canvas,,,
