url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Media,Location,Series,Period,Theme
https://www.wikiart.org/en/mikalojus-ciurlionis/sparks-ii-1906,1906,,https://uploads6.wikiart.org/images/mikalojus-ciurlionis/sparks-ii-1906.jpg!Large.jpg,1906,Symbolism,landscape,twilight-and-night|mountains|Sky|Atmosphere,tempera|paper,,Sparks,,
https://www.wikiart.org/en/joseph-decamp/the-blue-cup-1909,1909,,https://uploads7.wikiart.org/00108/images/joseph-decamp/the-blue-cup-1909.jpg!Large.jpg,1909,Realism,genre painting,,oil|canvas,"Museum of Fine Arts (MFA), Boston, MA, US",,,
https://www.wikiart.org/en/volodymyr-orlovsky/the-mowers,,,https://uploads0.wikiart.org/images/volodymyr-orlovsky/the-mowers.jpg!Large.jpg,,Realism,genre painting,fields-and-plains|handwork|Tree|Adaptation|Plant,canvas|oil,,,,
https://www.wikiart.org/en/james-ensor/hell-under-hell-above-hell-all-around-1888,1888,,https://uploads7.wikiart.org/images/james-ensor/hell-under-hell-above-hell-all-around-1888.jpg!Large.jpg,1888,Expressionism,symbolic painting,History,,,,,
https://www.wikiart.org/en/theophile-steinlen/masseida-assise-de-trois-quarts-a-gauche-la-tete-tournee-a-droite-1917,1917,,https://uploads6.wikiart.org/images/theophile-steinlen/masseida-assise-de-trois-quarts-a-gauche-la-tete-tournee-a-droite-1917.jpg!Large.jpg,1917,Realism,nude painting (nu),Sketch|Figure drawing|Human,,,,,
https://www.wikiart.org/en/vasily-perov/organ-grinders,,,https://uploads7.wikiart.org/images/vasily-perov/organ-grinders.jpg!Large.jpg,,Realism,sketch and study,male-portraits|children portraits|Sketch,,,,,
https://www.wikiart.org/en/pyotr-konchalovsky/balaklava-the-balcony-1929,1929,,https://uploads7.wikiart.org/images/pyotr-konchalovsky/balaklava-the-balcony-1929.jpg!Large.jpg,1929,Post-Impressionism,interior,furniture-and-decoration|doors-and-windows|Crimea|Balaklava,,,,,
https://www.wikiart.org/en/arkhip-kuindzhi/men-s-head-in-a-straw-hat,,,https://uploads3.wikiart.org/images/arkhip-kuindzhi/men-s-head-in-a-straw-hat.jpg!Large.jpg,,Realism,portrait,male-portraits|Sketch|Nose|Head|Figure drawing|Hat,,,,,
https://www.wikiart.org/en/paul-gauguin/clearing-1873,1873,,https://uploads6.wikiart.org/images/paul-gauguin/clearing-1873.jpg!Large.jpg,1873|1873; France,Impressionism,landscape,forests-and-trees|Tree|Sky|Natural landscape|Natural environment|Cloud|Wilderness|Woody plant|Pasture|Grass,oil|canvas,"Musée des Beaux-Arts d'Orléans, Orleans, France",,Early works,
https://www.wikiart.org/en/vasily-sadovnikov/kamennoostrovsky-bridge,1830,,https://uploads3.wikiart.org/images/vasily-sadovnikov/kamennoostrovsky-bridge.jpg!Large.jpg,1830,Realism,cityscape,rivers-and-waterfalls|Bridge|Waterway|River,,,,,
https://www.wikiart.org/en/yu-youhan/chairman-mao-1995,1995,,https://uploads6.wikiart.org/images/yu-youhan/chairman-mao-1995.jpg,1995,Pop Art,figurative,Pink|Textile,,,,,
https://www.wikiart.org/en/mstislav-dobuzhinsky/roofs-1931,1931,,https://uploads1.wikiart.org/images/mstislav-dobuzhinsky/roofs-1931.jpg,1931,Symbolism,cityscape,yards|rooftops|Sketch,,,,,
https://www.wikiart.org/en/yuriy-zlotnikov/yuriy-zlotnikov-0,1990,,https://uploads1.wikiart.org/00215/images/yuriy-zlotnikov/zlot2-big.jpg,1990,Abstract Art,abstract,Text|Line|Font,,,,,
https://www.wikiart.org/en/taras-shevchenko/portrait-of-y-f-rudzinsky-1845,1845,,https://uploads0.wikiart.org/images/taras-shevchenko/portrait-of-y-f-rudzinsky-1845.jpg!Large.jpg,1845,Romanticism,portrait,male-portraits|Gentleman,,,,,
https://www.wikiart.org/en/paul-jacoulet/yagourouh-et-mio-yap-ouest-carolines-1938,1938,,https://uploads7.wikiart.org/images/paul-jacoulet/yagourouh-et-mio-yap-ouest-carolines-1938.jpg,1938,Ukiyo-e,nude painting (nu),Male|Interaction,,,,,
https://www.wikiart.org/en/andre-masson/leonardo-and-isabella-d-este,1942,,https://uploads2.wikiart.org/images/andre-masson/leonardo-and-isabella-d-este.jpg,1942,Surrealism,abstract,,,,,,
https://www.wikiart.org/en/shotei-takahashi/japanese-radish-rats-and-carrot-1930,1930,,https://uploads5.wikiart.org/images/shotei-takahashi/japanese-radish-rats-and-carrot-1930.jpg,1930,Shin-hanga,animal painting,Rat|Organism,,,,,
