url,Create Date,Create Location,image_url,Date,Genre,Media,tags,Style,Location,Series,Period,Theme
https://www.wikiart.org/en/carsten-nicolai/sign-1997,1997,,https://uploads4.wikiart.org/images/carsten-nicolai/sign-1997.jpg,1997,installation,,Table|Circle|Coffee table,Neo-Minimalism,,,,
https://www.wikiart.org/en/petros-malayan/still-life-with-armenian-carpet-1986,1986,,https://uploads0.wikiart.org/00316/images/petros-malayan/still-life-with-armenian-carpet-1986.jpg,1986,still life,,,Expressionism,,,,
https://www.wikiart.org/en/hiroshi-sugimoto/revolution-003-n-atlantic-ocean-newfoundland-1990,1990,,https://uploads0.wikiart.org/images/hiroshi-sugimoto/revolution-003-n-atlantic-ocean-newfoundland-1990.jpg,1990,photo,,Darkness|Light|Atmospheric phenomenon|Atmosphere|monochrome,Minimalism,,,,
https://www.wikiart.org/en/ilya-mashkov/still-life-with-bread-and-pumpkin-1914,1914,,https://uploads3.wikiart.org/images/ilya-mashkov/still-life-with-bread-and-pumpkin-1914.jpg,1914,still life,oil|canvas,dishware-and-cutlery|food-and-beverages|Still life photography,Post-Impressionism,,,,
https://www.wikiart.org/en/brice-marden/grove-group-iii-1973,1973,,https://uploads4.wikiart.org/images/brice-marden/grove-group-iii-1973.jpg!Large.jpg,1973,abstract,,Rectangle,Minimalism,,,,
https://www.wikiart.org/en/vasily-vereshchagin/chinese-1873,1873,,https://uploads3.wikiart.org/images/vasily-vereshchagin/chinese-1873.jpg!Large.jpg,1873,portrait,,male-portraits|Outerwear,Realism|Orientalism,,,,
https://www.wikiart.org/en/ghiberti/noe,,,https://uploads3.wikiart.org/00164/images/ghiberti/800px-formella-battistero-3-no.JPG!Large.JPG,,sculpture,bronze,Relief|Stone carving|Carving,Early Renaissance,"Duomo di Firenze (Cattedrale di Santa Maria del Fiore), Florence, Italy",,,
https://www.wikiart.org/en/petros-malayan/black-sea-kostanza-1989,1989,,https://uploads5.wikiart.org/00316/images/petros-malayan/black-sea-kostanza-1989.jpg,1989,genre painting,,,Expressionism,,,,
https://www.wikiart.org/en/vincent-van-gogh/fisherman-with-sou-wester-sitting-with-pipe-1883-1,1883,Haag / Den Haag / La Haye / The Hague,https://uploads5.wikiart.org/images/vincent-van-gogh/fisherman-with-sou-wester-sitting-with-pipe-1883-1(1).jpg!Large.jpg,"Haag / Den Haag / La Haye / The Hague|1883; Haag / Den Haag / La Haye / The Hague, Netherlands|1883",portrait,wash|ink|chalk|pencil|paper,male-portraits,Realism,"Kröller-Müller Museum, Otterlo, Netherlands",,,
https://www.wikiart.org/en/camille-pissarro/young-woman-washing-plates-1882,1882,,https://uploads1.wikiart.org/images/camille-pissarro/young-woman-washing-plates-1882.jpg!Large.jpg,1882,genre painting,oil|canvas,1880s paintings from France,Impressionism,"Fitzwilliam Museum (University of Cambridge), Cambridge, UK",,,
https://www.wikiart.org/en/jose-maria-velasco/pe-ascos-del-cerro-de-atzacoalco,,,https://uploads4.wikiart.org/images/jose-maria-velasco/pe-ascos-del-cerro-de-atzacoalco.jpg!Large.jpg,,landscape,,Mountainous landforms|Sky|Natural landscape|Mountain|Wilderness|Formation|Rock|Geology,Realism,,,,
https://www.wikiart.org/en/jeffrey-smart/holiday-1971,1971,,https://uploads2.wikiart.org/00207/images/jeffrey-smart/holiday-1971.jpg!Large.jpg,1971,cityscape,,Line,Contemporary Realism,,,,
https://www.wikiart.org/en/grazia-varisco/nom-one-two-three-1984,1984,,https://uploads8.wikiart.org/images/grazia-varisco/nom-one-two-three-1984.jpg!Large.jpg,1984,sculpture,,Public space|Outdoor play equipment|Playground|Swing|Human settlement|Tree,Minimalism,,,,
https://www.wikiart.org/en/david-hare/earth-wader-1946,1946,,https://uploads7.wikiart.org/images/david-hare/earth-wader-1946.jpg!Large.jpg,1946,sculpture,,,Surrealism,,,,
https://www.wikiart.org/en/vasily-vereshchagin/the-ruins-of-the-chinese-shrine-ak-kent-1870,1870,,https://uploads8.wikiart.org/images/vasily-vereshchagin/the-ruins-of-the-chinese-shrine-ak-kent-1870.jpg!Large.jpg,1870,cityscape,,ruins-and-columns|House,Realism|Orientalism,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/aleksander-gierymski/piazza-del-popolo-w-rzymie-1901,1901,,https://uploads5.wikiart.org/images/aleksander-gierymski/piazza-del-popolo-w-rzymie-1901.jpg!Large.jpg,1901,cityscape,,Public space|Building|History|Plaza,Realism,,,,
https://www.wikiart.org/en/simon-hantai/mariale,,,https://uploads8.wikiart.org/images/simon-hantai/mariale.jpg,,abstract,,Tree,Tachisme,,,,
https://www.wikiart.org/en/charles-lapicque/l-homme-et-l-armure-1969,1969,,https://uploads2.wikiart.org/images/charles-lapicque/l-homme-et-l-armure-1969.jpg,1969,portrait,,,Fauvism|Pop Art,,,,
https://www.wikiart.org/en/john-frederick-lewis/giralda-seville-grabado-and-plancha-de-acero-1837,1837,,https://uploads7.wikiart.org/00298/images/john-frederick-lewis/sevilla-giralda-lewis-medium.jpg!Large.jpg,1837,cityscape,,Tower|Clock tower|Stock photography,Romanticism,,,,
https://www.wikiart.org/en/ronnie-landfield/series-painting-5-1966,1966,,https://uploads0.wikiart.org/images/ronnie-landfield/series-painting-5-1966.jpg,1966,abstract,,Sky|Rectangle,Color Field Painting|Minimalism,,,,
https://www.wikiart.org/en/richard-parkes-bonington/beach-in-normandy,1826,,https://uploads3.wikiart.org/images/richard-parkes-bonington/beach-in-normandy.jpg,1826|c.1826; France,landscape,oil|canvas,,Romanticism,"Tate Modern, London, UK",,,
