url,Create Date,Create Location,Date,image_url,Style,Genre,Media,Location,tags,Series,Period,Theme,Share
https://www.wikiart.org/en/martial-raysse/blue-france-1962,1962,,1962,https://uploads1.wikiart.org/images/martial-raysse/blue-france-1962.jpg,Pop Art|Nouveau Réalisme,portrait,,,,,,,
https://www.wikiart.org/en/odd-nerdrum/the-seed-protectors,,,,https://uploads6.wikiart.org/00204/images/odd-nerdrum/the-seed-protectors.jpg,Neo-baroque,symbolic painting,,,Sky,,,,
https://www.wikiart.org/en/takashi-murakami/eye-love-superflat-black-2003,2003,,2003,https://uploads7.wikiart.org/images/takashi-murakami/eye-love-superflat-black-2003.jpg,Neo-Pop Art|Superflat,figurative,,,Pattern,,,,
https://www.wikiart.org/en/volodymyr-orlovsky/summer-landscape-with-road,1875,,1875,https://uploads7.wikiart.org/images/volodymyr-orlovsky/summer-landscape-with-road.jpg!Large.jpg,Realism,landscape,oil|canvas,,roads-and-vehicles|fields-and-plains|Pasture|Natural environment|Natural landscape|Rural area|Plain|Grassland|Sky|Meadow|Land lot,,,,
https://www.wikiart.org/en/oswaldo-guayasamin/hambre,,,,https://uploads4.wikiart.org/images/oswaldo-guayasamin/hambre.jpg,Expressionism,portrait,,,Tree,,,,
https://www.wikiart.org/en/balthus/getting-up-1955,1955,,1955,https://uploads3.wikiart.org/images/balthus/getting-up-1955.jpg!Large.jpg,Expressionism,nude painting (nu),oil|canvas,"Scottish National Gallery of Modern Art, Edinburgh, UK",female-nude|Mythology|Human body,,,,
https://www.wikiart.org/en/aubrey-beardsley/title-page-ornament-for-the-yellow-book,,,,https://uploads0.wikiart.org/images/aubrey-beardsley/title-page-ornament-for-the-yellow-book.jpg!Large.jpg,Art Nouveau (Modern),illustration,lithography,Private Collection,female-portraits|fictional-characters,,,,
https://www.wikiart.org/en/raoul-ubac/l-oeuf,,,,https://uploads6.wikiart.org/images/raoul-ubac/l-oeuf.jpg!Large.jpg,Surrealism,photo,,,Egg|Still life photography,,,,
https://www.wikiart.org/en/alexey-venetsianov/a-peasant-woman-combing-flax-anisia,1822,,1822,https://uploads7.wikiart.org/images/alexey-venetsianov/a-peasant-woman-combing-flax-anisia.jpg!Large.jpg,Realism,portrait,,,female-portraits|Cheek|Forehead,,,,
https://www.wikiart.org/en/marina-pallares/34-el-cacto-the-cactus-2008,2008,,2008,https://uploads3.wikiart.org/00171/images/marina-pallares/34-el-cacto-the-cactus.jpg!Large.jpg,Magic Realism,illustration,linocut,,Saguaro|Botany|Plant,La Lotería Tequilera (The Tequila Lottery) [linocut prints],Contemporary,tequila,
https://www.wikiart.org/en/james-ward/cow-and-calf,,,,https://uploads3.wikiart.org/images/james-ward/cow-and-calf.jpg!Large.jpg,Romanticism,animal painting,,,Bovine|Calf|Livestock|Cow-goat family,,,,
https://www.wikiart.org/en/george-saru/on-the-islands-with-you-1987,1987,,1987,https://uploads3.wikiart.org/00114/images/george-saru/tumblr-n1lerfmyha1tur0p6o3-r1-500.jpg,Abstract Art,abstract,oil|gouache|acrylic,,,,,,
https://www.wikiart.org/en/gene-davis/micro-painting-16-1968,1968,,1968,https://uploads4.wikiart.org/images/gene-davis/micro-painting-16-1968.jpg!Large.jpg,Hard Edge Painting,abstract,,,Orange|Woolen|Textile|Rectangle,,,,
https://www.wikiart.org/en/samuel-peploe/tulips,,,,https://uploads0.wikiart.org/images/samuel-peploe/tulips.jpg!Large.jpg,Post-Impressionism,still life,,,Flower,,,,
https://www.wikiart.org/en/roger-weik/untitled-2002,2002,Los Angeles,"Los Angeles|2002|2002 - 2002; Los Angeles, United States",https://uploads4.wikiart.org/images/roger-weik/untitled-2002.jpg!Large.jpg,Abstract Expressionism,abstract,,,Rock|Mineral|Geology,,,,
https://www.wikiart.org/en/martiros-sarian/flowers-of-stepanavan-1950,1950,,1950|1950; Armenia,https://uploads4.wikiart.org/images/martiros-saryan/flowers-of-stepanavan-1950.jpg!Large.jpg,Realism,flower painting,oil|canvas,,flowers-and-plants|Flower|Flowerpot|Plant|Floristry|Bouquet|Flower Arranging|Flowering plant,,,,
https://www.wikiart.org/en/martiros-sarian/illumination-for-the-tale-by-hovhannes-tumanyan-nazar-the-brave-1936,1936,,1936|1936; Armenia,https://uploads1.wikiart.org/images/martiros-saryan/illumination-for-the-tale-by-hovhannes-tumanyan-nazar-the-brave-1936.jpg!Large.jpg,Expressionism,illustration,,,countryside|couples|night|Organism,,,,
https://www.wikiart.org/en/maynard-dixon/wind-of-wyoming-1936,1936,,1936|1936; United States,https://uploads5.wikiart.org/00169/images/maynard-dixon/wind-of-wyoming-maynard-dixon-1936.jpeg!Large.jpeg,Impressionism,cloudscape,,,Sky|Natural landscape|Natural environment|Plain|Grassland|Prairie|Cloud|Steppe|Ecoregion,,,,
https://www.wikiart.org/en/paul-gauguin/breton-woman-with-a-pitcher-1888,1888,Pont-aven,"Pont-aven|1888; Pont-aven, France|1888",https://uploads7.wikiart.org/images/paul-gauguin/breton-woman-with-a-pitcher-1888.jpg!Large.jpg,Post-Impressionism,genre painting,oil|canvas,Private Collection,countryside|Tree|Leaf|autumn|Northern hardwood forest|Brittany,,Breton period,,
https://www.wikiart.org/en/max-kurzweil/the-farrier,1900,Vienna,"1900|c.1900; Vienna, Austria|Vienna",https://uploads7.wikiart.org/images/max-kurzweil/the-farrier(1).jpg!Large.jpg,Art Nouveau (Modern),genre painting,paper|lithography,,arts-and-crafts|horses|factories-and-plants|handwork|Burro|Working animal,,,,
https://www.wikiart.org/en/alfred-freddy-krupa/at-the-very-end-of-the-traces-of-one-life-2016,2016,Karlovac,"Karlovac|2016|2016; Karlovac, Croatia",https://uploads6.wikiart.org/00217/images/alfred-freddy-krupa/15799843-10211311556522316-8872982802092077629-o-convertimage-1.jpg!Large.jpg,Street Photography,veduta|cityscape,photography,,House|monochrome|Neighbourhood|Town|Sky|Building,,,,
https://www.wikiart.org/en/xavier-martinez/eucalyptus-grove-in-a-vast-landscape,,,,https://uploads4.wikiart.org/images/xavier-martinez/eucalyptus-grove-in-a-vast-landscape.jpg,Tonalism,landscape,,,Sky|Nature|Atmospheric phenomenon|morning|Natural landscape|Horizon|Atmosphere|Plain|Sunrise|Tree,,,,
https://www.wikiart.org/en/pablo-picasso/the-kitchen-1948-1,1948,,1948,https://uploads3.wikiart.org/images/pablo-picasso/the-kitchen-1948-1.jpg!Large.jpg,Surrealism,interior,,,kitchens|Font|Line,,Neoclassicist & Surrealist Period,,
https://www.wikiart.org/en/carmen-delaco/magnolias-2022,2022,,2022,https://uploads3.wikiart.org/00495/images/carmen-delaco/magnolias-n-i.jpg!Large.jpg,Figurative Expressionism,flower painting,oil|canvas|acrylic,,Magnolia|Flower|flowers-and-plants|Nature,,,,
https://www.wikiart.org/en/henry-fuseli/macbeth-act-i-scene-3-the-weird-sisters-1783,1783,,1783,https://uploads4.wikiart.org/images/henry-fuseli/macbeth-act-i-scene-3-the-weird-sisters-1783(1).jpg!Large.jpg,Romanticism,literary painting,oil|canvas,,Human|Eye,,,,
https://www.wikiart.org/en/andre-masson/pool-at-the-villa-d-este-1956,1956,,1956,https://uploads3.wikiart.org/images/andre-masson/pool-at-the-villa-d-este-1956.jpg,Surrealism,landscape,,,Tree,,,,
https://www.wikiart.org/en/henri-matisse/two-girls-1941,1941,,1941,https://uploads7.wikiart.org/00133/images/henri-matisse/two-girls-1941.jpg!Large.jpg,Fauvism,genre painting,,,,,,,
https://www.wikiart.org/en/ion-bitzan/unknown-title,,,,https://uploads4.wikiart.org/images/ion-bitzan/unknown-title.jpg!Large.jpg,Art Informel,abstract,,,,,,,
https://www.wikiart.org/en/thomas-cole/catskill-landscape-1846,1846,,1846,https://uploads6.wikiart.org/images/thomas-cole/catskill-landscape-1846.jpg!Large.jpg,Romanticism,landscape,oil|canvas,Private Collection,forests-and-trees|cliffs-and-rocks|Sky,,,,
https://www.wikiart.org/en/knud-baade/from-the-sognefjord-1847,1847,,1847,https://uploads4.wikiart.org/00372/images/knud-baade/screenshot-2021-12-20-211940.png!Large.png,Romanticism,landscape,oil|canvas,,,,,,
https://www.wikiart.org/en/charles-turner/henry-edward-fox-1805,1805,,1805,https://uploads7.wikiart.org/images/charles-turner/henry-edward-fox-1805.jpg!Large.jpg,Romanticism,portrait,,,Lady|Gentleman,,,,
https://www.wikiart.org/en/rudolf-ernst/the-visit,,,,https://uploads2.wikiart.org/00298/images/rudolf-ernst/rudolf-ernst-the-visit.PNG!Large.PNG,Orientalism,genre painting,oil,,,,,,
https://www.wikiart.org/en/walter-gramatte/tired-flower-girl-1922,1922,,1922,https://uploads5.wikiart.org/00305/images/walter-gramatte/walter-gramatt-tired-flower-girl.jpg,Expressionism,portrait,,,,,,,
https://www.wikiart.org/en/gustave-loiseau/willows-in-fog-1915,1915,,1915,https://uploads6.wikiart.org/images/gustave-loiseau/willows-in-fog-1915.jpg!Large.jpg,Post-Impressionism,landscape,oil|canvas,,forests-and-trees|Tree,,,,
https://www.wikiart.org/en/luke-fildes/italian-scene-1900,1900,,1900,https://uploads3.wikiart.org/00128/images/luke-fildes/italian-scene.jpg!Large.jpg,Academicism,genre painting,,,Venice|Conversation|conversations,,,,
https://www.wikiart.org/en/roger-weik/dissolution-2016-2016,2016,Los Angeles,"Los Angeles|2016|2016; Los Angeles, United States",https://uploads3.wikiart.org/images/roger-weik/dissolution-2016-2016.jpg!Large.jpg,Abstract Expressionism,abstract,,,Water|Font,,,,
https://www.wikiart.org/en/salvador-dali/the-god-of-the-bay-of-roses-1944,1944,,1944,https://uploads6.wikiart.org/00175/images/salvador-dali/the-god-of-the-bay-of-roses.jpg!Large.jpg,Surrealism,portrait,,,Sky,,Classic Period (1941-1989),,
https://www.wikiart.org/en/diego-rivera/the-new-school-1923,1923,,1923,https://uploads3.wikiart.org/images/diego-rivera/the-new-school-1923.jpg!Large.jpg,Social Realism,genre painting,fresco,"Secretariat of Public Education Main Headquarters, Mexico City, Mexico",,,,,
https://www.wikiart.org/en/kiki-smith/born-2002-1,2002,,2002,https://uploads1.wikiart.org/images/kiki-smith/born-2002-1.jpg,Feminist Art,sculpture,,,Statue|Bronze sculpture|deer|Antelope,,,,
https://www.wikiart.org/en/terry-frost/it-is-true-1989,1989,,1989,https://uploads7.wikiart.org/images/terry-frost/it-is-true-1989.jpg!Large.jpg,Abstract Expressionism,figurative,,,,,,,
