url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Media,Location,Theme,Period,Series
https://www.wikiart.org/en/mstislav-dobuzhinsky/glassmakers-street-in-vilno,1906,,1906,https://uploads1.wikiart.org/images/mstislav-dobuzhinsky/glassmakers-street-in-vilno.jpg!Large.jpg,Symbolism,cityscape,streets-and-squares|Town|Street|Building|Medieval architecture|Neighbourhood,,"Tretyakov Gallery, Moscow, Russia",,,
https://www.wikiart.org/en/henri-fantin-latour/bathers-ii,,,,https://uploads1.wikiart.org/images/henri-fantin-latour/bathers-ii.jpg!Large.jpg,Symbolism,genre painting,Brown,,,,,
https://www.wikiart.org/en/behjat-sadr/untitled-1974,1974,,1974,https://uploads8.wikiart.org/00299/images/behjat-sadr/ac02-apr-art-behjat-sadr-huile-sur-toile-centre-pompidou.jpg!Large.jpg,Abstract Expressionism,abstract,Rock|Tree,,,,,
https://www.wikiart.org/en/james-ward/two-studies-of-children-1812,1812,,1812,https://uploads1.wikiart.org/images/james-ward/two-studies-of-children-1812.jpg!Large.jpg,Romanticism,sketch and study,Mythology|Cupid|Human|Child,,,,,
https://www.wikiart.org/en/richard-hambleton/sophia-2006,2006,,2006,https://uploads0.wikiart.org/images/richard-hambleton/sophia-2006.jpg!Large.jpg,Abstract Expressionism,abstract,Turquoise,varnish|wood,,,,
https://www.wikiart.org/en/allan-randall-freelon/glouchester-scene,,,,https://uploads8.wikiart.org/00331/images/allan-randall-freelon/glouchester-scene.jpg,Neo-Impressionism|Impressionism,landscape,,,,,,
https://www.wikiart.org/en/james-tissot/remembrance-ball-on-board,1876,,1876,https://uploads0.wikiart.org/images/james-tissot/remembrance-ball-on-board.jpg!Large.jpg,Realism,sketch and study,boats-and-ships,etching|drypoint,,,,
https://www.wikiart.org/en/rochelle-blumenfeld/beacon-2010,2010,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania|2010; Pittsburgh, Pennsylvania, United States|2010",https://uploads4.wikiart.org/00166/images/rochelle-blumenfeld/beacon36x48.jpg!Large.jpg,Post-Painterly Abstraction,abstract,Light|Line|Sky,acrylic,,,,
https://www.wikiart.org/en/gustave-moreau/helen-on-the-walls-of-troy,1885,,1885,https://uploads3.wikiart.org/images/gustave-moreau/helen-on-the-walls-of-troy.jpg!Large.jpg,Symbolism,mythological painting,female-portraits|Greek-and-Roman-Mythology|Troy|Helen|Lady|1880s paintings from France,watercolor,,,,
https://www.wikiart.org/en/william-logsdail/william-braginton-as-an-older-man-1911,1911,,1911,https://uploads6.wikiart.org/00327/images/william-logsdail/william-braginton-as-an-older-man-1911.jpg!Large.jpg,Realism,portrait,,,,,,
https://www.wikiart.org/en/man-ray/dora-maar-1936,1936,,1936,https://uploads2.wikiart.org/images/man-ray/dora-maar-1936.jpg!Large.jpg,Dada,photo,Finger|Hand|monochrome|Human|Gesture|Cool,,,,,
https://www.wikiart.org/en/alberto-gironella/festin-a-bunuel-1975,1975,,1975,https://uploads8.wikiart.org/images/alberto-gironella/festin-a-bunuel-1975.jpg,Conceptual Art,abstract,Orange,,,,,
https://www.wikiart.org/en/florine-stettheimer/portrait-of-a-woman-with-red-hair,,,,https://uploads4.wikiart.org/00437/images/florine-stettheimer/portrait-of-a-woman-with-red-hair-unknown.jpg!Large.jpg,,,,,,,,
https://www.wikiart.org/en/arnold-bocklin/on-the-pontine-swamps-1851,1851,,1851,https://uploads3.wikiart.org/images/arnold-b-cklin/on-the-pontine-swamps-1851.jpg!Large.jpg,Romanticism,landscape,forests-and-trees|swamps|Tree|Sky|Plant community,,,,,
https://www.wikiart.org/en/taras-shevchenko/mezhyhirya-monastery-1843,1843,,1843|1843; Ukraine,https://uploads4.wikiart.org/images/taras-shevchenko/mezhyhirya-monastery-1843.jpg!Large.jpg,Realism,cityscape,Landmark|Sketch|Steeple|Stock photography|Spire|Place of worship|Building,pencil|paper,,,,
https://www.wikiart.org/en/childe-hassam/a-parade-of-boats-1895,1895,,1895,https://uploads7.wikiart.org/images/childe-hassam/a-parade-of-boats-1895.jpg!Large.jpg,Impressionism,landscape,boats-and-ships|Boat|Vehicle|Watercraft,,,,,
https://www.wikiart.org/en/m-c-escher/nocturnal-rome-2,1934,,1934,https://uploads6.wikiart.org/images/m-c-escher/nocturnal-rome-2.jpg,Expressionism,cityscape,streets-and-squares|houses-and-buildings|Rome|night|Line,,,,,Nocturnal Rome
https://www.wikiart.org/en/vincent-van-gogh/self-portrait-1888-1,1888,"Arles, Bouches-du-Rhône","1888|1888; Arles, Bouches-du-Rhône, France|Arles, Bouches-du-Rhône",https://uploads8.wikiart.org/images/vincent-van-gogh/self-portrait-1888-1.jpg!Large.jpg,Post-Impressionism,self-portrait,male-portraits|famous-people|Vincent-Van-Gogh|cigarettes-and-pipes|Facial hair|Beard|Headgear,oil|canvas,Private Collection,,,
https://www.wikiart.org/en/john-crome/a-woody-landscape,,,,https://uploads7.wikiart.org/images/john-crome/a-woody-landscape.jpg,Romanticism,landscape,Sky|Tree,,,,,
https://www.wikiart.org/en/marevna-marie-vorobieff/portrait-of-osip-zadkine,,,,https://uploads0.wikiart.org/images/marevna-marie-vorobieff/portrait-of-osip-zadkine.jpg,Expressionism,portrait,male-portraits|famous-people|Face|Sketch|Head|Forehead|Chin|Cheek,,,,,
https://www.wikiart.org/en/jan-mankes/rooster-wyandotte-with-tin-dish-1913,1913,,1913,https://uploads6.wikiart.org/00320/images/jan-mankes/jan-mankes-haan-wyandotte-met-tinnen-schotel.jpg!Large.jpg,Symbolism,animal painting,,oil,,,,
https://www.wikiart.org/en/paul-gauguin/the-month-of-maria-1899,1899,Punaauia,"Punaauia|1899|1899; Punaauia, French Polynesia",https://uploads7.wikiart.org/images/paul-gauguin/the-month-of-maria-1899.jpg!Large.jpg,Cloisonnism,portrait,flowers-and-plants|female-portraits|Tahiti,oil|canvas,"Hermitage Museum, Saint Petersburg, Russia",,2nd Tahiti period,
https://www.wikiart.org/en/manuel-rodriguez-lozano/el-cainismo-1947,1947,,1947|1947; Mexico,https://uploads7.wikiart.org/00176/images/manuel-rodriguez-lozano/el-cainismo-1947-leo-sobre-tela-124x89-banco-nacional-de-m-xico.jpg!Large.jpg,,,,oil,,,Época Blanca,
https://www.wikiart.org/en/giovanni-segantini/die-letzte-muhe-des-tages-1884,1884,,1884,https://uploads3.wikiart.org/00144/images/giovanni-segantini/segantini-die-letzte-m-he-des-tages-1884.jpg!Large.jpg,Symbolism,symbolic painting,Sky|Tree|1880s paintings from Italy,,"Budapest Museum of Fine Arts, Budapest, Hungary",,,
https://www.wikiart.org/en/kexin-di/zi-hua-xiang-2017,2017,,2017,https://uploads0.wikiart.org/00290/images/kexin-di/13-50-40cm-2017.jpg!Large.jpg,Contemporary Realism,self-portrait,Chin|Neck|Human,oil,,,,
https://www.wikiart.org/en/salvador-dali/white-aphrodisiac-telephone-1938,1938,,1938,https://uploads8.wikiart.org/00333/images/salvador-dali/johannesburg-art-gallery.jpg!Large.jpg,Surrealism,sculpture,,mixed media,"Johannesburg Art Gallery, Johannesburg, South Africa",,Surrealism Period (1929-1940),Lobster/Aphrodisiac Telephone
