url,Create Date,Create Location,Date,image_url,Style,Genre,tags,Period,Media,Location,Theme,Series
https://www.wikiart.org/en/bela-czobel/bela-czobel-jeune-femme-au-col-blanc-1961,,,,https://uploads2.wikiart.org/00397/images/bela-czobel/bela-czobel-jeune-femme-au-col-blanc-1961.JPG!Large.JPG,,,,,,,,
https://www.wikiart.org/en/jacek-malczewski/self-portrait-1,,,,https://uploads3.wikiart.org/images/jacek-malczewski/self-portrait-1.jpg!Large.jpg,Art Nouveau (Modern),self-portrait,male-portraits|famous-people|beasts-and-dragons|Gentleman,,,,,
https://www.wikiart.org/en/david-cox/view-near-lancaster,,,,https://uploads0.wikiart.org/images/david-cox/view-near-lancaster.jpg!Large.jpg,Romanticism,landscape,Natural landscape|Tree|Rural area,,,,,
https://www.wikiart.org/en/clyfford-still/1957-j-no-2-1957,1957,,1957,https://uploads1.wikiart.org/images/clyfford-still/1957-j-no-2-1957.jpg,Color Field Painting,abstract,Pattern,,,,,
https://www.wikiart.org/en/raphael-kirchner/cigarettes-of-the-world-1900-1,1900,,1900,https://uploads0.wikiart.org/images/raphael-kirchner/cigarettes-of-the-world-1900-1.jpg!Large.jpg,Art Nouveau (Modern),advertisement,female-portraits|posters-and-advertisements|Text,,,,,Cigarettes of the World
https://www.wikiart.org/en/zinaida-serebriakova/portrait-of-alexandre-popoff-in-a-smoking-jacket-1942,1942,,1942,https://uploads0.wikiart.org/images/zinaida-serebriakova/portrait-of-alexandre-popoff-in-a-smoking-jacket-1942.jpg!Large.jpg,Expressionism,portrait,male-portraits|Elder,,,,,
https://www.wikiart.org/en/andy-warhol/mao-2,1972,,1972,https://uploads6.wikiart.org/images/andy-warhol/mao-2.jpg!Large.jpg,Pop Art,portrait,male-portraits|famous-people|Mao-Zedong|Chin|Forehead,,,,,
https://www.wikiart.org/en/konstantin-korovin/gursuf-evening-1912,1912,,1912,https://uploads0.wikiart.org/images/konstantin-korovin/gursuf-evening-1912.jpg!Large.jpg,Impressionism,landscape,boats-and-ships|seas-and-oceans|Water,,,,,
https://www.wikiart.org/en/mary-cassatt/during-carnival-1872,1872,,1872,https://uploads4.wikiart.org/images/mary-cassatt/during-carnival-1872.jpg!Large.jpg,Realism,genre painting,celebrations-and-festivals|Lady|Human,,canvas|oil,Private Collection,,
https://www.wikiart.org/en/thomas-cole/morning-mist-rising-in-plymouth-new-hampshire-1830,1830,,1830,https://uploads6.wikiart.org/images/thomas-cole/morning-mist-rising-in-plymouth-new-hampshire-1830.jpg!Large.jpg,Romanticism,landscape,rivers-and-waterfalls|forests-and-trees|mountains|Natural landscape|Sky|Atmospheric phenomenon|Bank|morning|Tree,,canvas|oil,,,
https://www.wikiart.org/en/marc-chagall/madame-korobotchka,1923,Paris,"1923|c.1923; Paris, France|Paris",https://uploads2.wikiart.org/images/marc-chagall/madame-korobotchka.jpg!Large.jpg,Naïve Art (Primitivism),illustration,"fictional-characters|Nikolai-Gogol-""Dead-souls""|Korobotchka|Sketch|Nose|Figure drawing|monochrome",,etching|paper,"Tretyakov Gallery, Moscow, Russia",,Dead souls
https://www.wikiart.org/en/henry-william-banks-davis/thorn-trees-on-a-breconshire-hillside-1904,1904,,1904,https://uploads3.wikiart.org/images/henry-william-banks-davis/thorn-trees-on-a-breconshire-hillside-1904.jpg!Large.jpg,Realism,landscape,Natural landscape|Nature|Pasture|Grassland|Natural environment|Herd|Meadow|Grass|Grazing,,,,,
https://www.wikiart.org/en/maurice-utrillo/belle-gabrielle,,,,https://uploads2.wikiart.org/images/maurice-utrillo/belle-gabrielle.jpg!Large.jpg,Post-Impressionism,cityscape,streets-and-squares|taverns-and-inns|Paris|cafes-and-restaurants,,,,,
https://www.wikiart.org/en/henri-matisse/the-riverbank-1907,1907,,1907,https://uploads3.wikiart.org/images/henri-matisse/the-riverbank-1907.jpg!Large.jpg,Fauvism,landscape,Tree|Flower|Plant|Botany|Leaf|Woody plant,,,"Kunstmuseum Basel, Basel, Switzerland",,
